3m,14d,all,bias3,low,summer,cap,eve,applied,rolling,stat,beta,hours_name,hours,gate,th
6.452681851811858,11.311543528349493,6.5108404237333595,-46.404620845896886,51.899636782063986,37.73576120742457,1.558266052465585,2.991853148327597,438,1,mean,0.05,day,10-18,wmape,12
6.452681851811858,11.311543528349493,6.5108404237333595,-46.404620845896886,51.899636782063986,37.73576120742457,1.558266052465585,2.991853148327597,438,1,median,0.05,day,10-18,wmape,12
6.453533563617903,11.311976379170318,6.511681450836402,-46.41136130511021,51.828363814033054,37.74946884914987,1.558266052465585,2.991853148327597,460,1,mean,0.05,day,10-18,wmape,10
6.453533563617903,11.311976379170318,6.511681450836402,-46.41136130511021,51.828363814033054,37.74946884914987,1.558266052465585,2.991853148327597,460,1,median,0.05,day,10-18,wmape,10
6.454376844759555,11.274869249164144,6.512514153037522,-48.23585540745623,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,198,5,median,-0.1,h78901117,"7-9,11,17",absbias,100
6.4545783921757875,11.282176610052712,6.5127131720465306,-48.11368437877679,50.904180288267376,36.419786920775124,1.558266052465585,2.991853148327597,198,5,median,-0.15,h78901117,"7-9,11,17",absbias,100
6.45485483381122,11.27313732400538,6.512986145728658,-48.28587249030289,50.97561612432509,36.4454435574701,1.558266052465585,2.991853148327597,198,5,median,-0.08,h78901117,"7-9,11,17",absbias,100
6.454997152985663,11.310221536636103,6.513126679512666,-46.604072058018794,51.91599221693451,37.70465819591238,1.558266052465585,2.991853148327597,404,1,mean,0.05,day,10-18,wmape,15
6.454997152985663,11.310221536636103,6.513126679512666,-46.604072058018794,51.91599221693451,37.70465819591238,1.558266052465585,2.991853148327597,404,1,median,0.05,day,10-18,wmape,15
6.45501648491337,11.276738765999546,6.513145768921833,-48.09459440118696,50.905610931727786,36.48309459171471,1.558266052465585,2.991853148327597,160,13,median,0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,40
6.455034294493026,11.345004405183202,6.513163355080764,-45.199435008108544,53.0271969923923,38.85205590267079,1.558266052465585,2.991853148327597,438,1,mean,0.08,day,10-18,wmape,12
6.455034294493026,11.345004405183202,6.513163355080764,-45.199435008108544,53.0271969923923,38.85205590267079,1.558266052465585,2.991853148327597,438,1,median,0.08,day,10-18,wmape,12
6.45510412254805,11.27751258822245,6.513232307144608,-48.24859122387203,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,157,5,median,-0.1,h78901117,"7-9,11,17",absbias,150
6.455104208552208,11.245572038973819,6.513232392069847,-47.69033846418738,51.029317828496424,36.46090112816557,1.561330916978031,2.977480201310772,28,3,mean,-0.2,eve2122,21-22,absbias,500
