datetime,actual,base,ridge,low,daily,high,hour,cap,rolling_mean_hour_3d,rolling_mean_hour_7d,rolling_mean_hour_14d,ratio_mean_hour_3d,ratio_mean_hour_7d,ratio_mean_hour_14d,prob_low_price,solarradiation,feelslike,rdn_demand,rdn_supply,demand_lag_24,supply_lag_24,price_lag_24,ratio_lag_24,windspeed,windgust,winddir,cloudcover,uvindex,precip,garpok_volume,vdr_supply,vdr_demand,is_weekend,is_off_day,is_summer,day_of_week_num
2026-06-02 00:00:00,5900.0,7120.096195524443,6380.714030293053,6380.714030293053,5357.855471752094,5357.855471752094,0,15000.0,6330.666666666667,7413.142857142857,8722.859285714285,0.4220444444444449,0.4942095238095237,0.5815239523809524,0.0016196234,0.0,12.1,2677.2,2677.2,2733.8,2733.8,4300.0,0.2866666666666667,6.9,11.9,275.0,13.0,0.0,0.0,3536.5,5200.0,5902.0,0,0,1,1
2026-06-02 01:00:00,3700.0,6385.594733206967,5790.189075581561,5790.189075581561,5048.358379916667,5048.358379916667,1,15000.0,6323.333333333333,6716.714285714285,6971.928571428572,0.4215555555555552,0.4477809523809523,0.4647952380952381,0.010797186,0.0,11.2,2238.3,2238.3,2462.3,2462.3,4300.0,0.2866666666666667,8.3,15.5,286.0,16.0,0.0,0.0,3785.1,5200.0,5902.0,0,0,1,1
2026-06-02 02:00:00,3300.0,5216.332995608948,4090.522989830756,4090.522989830756,3468.2843408806843,3468.2843408806843,2,15000.0,5360.0,5690.571428571428,6019.890714285714,0.3573333333333333,0.3793714285714285,0.4013260476190476,0.017313387,0.0,10.6,2065.5,2065.5,2238.3,2238.3,4000.0,0.2666666666666666,7.3,15.1,250.0,13.0,0.0,0.0,3695.2,3690.0,4440.0,0,0,1,1
2026-06-02 03:00:00,3300.0,5226.562979747557,3593.0609852191096,3593.0609852191096,2959.1135142716194,2959.1135142716194,3,15000.0,5259.666666666667,5568.428571428572,5789.285714285715,0.3506444444444445,0.3712285714285714,0.3859523809523809,0.08076173,0.0,9.0,1951.1,1951.1,2008.7,2008.7,3400.0,0.2266666666666666,7.4,13.7,264.0,36.0,0.0,0.0,3641.3,3290.0,15000.0,0,0,1,1
2026-06-02 04:00:00,3300.0,5175.256272624587,3566.513757522173,3566.513757522173,2959.135263734756,2959.135263734756,4,15000.0,5133.333333333333,5577.142857142857,5825.017857142857,0.3422222222222222,0.3718095238095238,0.3883345238095238,0.08130779,0.0,8.2,1991.8,1991.8,2027.2,2027.2,3400.0,0.2266666666666666,8.5,15.8,246.0,55.0,0.0,0.0,3658.0,3290.0,4000.0,0,0,1,1
2026-06-02 05:00:00,3700.0,5414.737228599694,4354.167021217534,4354.167021217534,3677.345422741754,3677.345422741754,5,15000.0,5048.333333333333,5795.285714285715,5990.956428571429,0.3365555555555555,0.3863523809523809,0.3993970952380952,0.04326316,0.0,8.2,2202.7,2202.7,2162.2,2162.2,3545.0,0.2363333333333333,7.4,15.8,248.0,82.0,0.0,0.0,3735.1,3290.0,4000.0,0,0,1,1
2026-06-02 06:00:00,4100.0,6082.645562283803,5110.186397126388,5110.186397126388,4407.031822414555,4407.031822414555,6,15000.0,5000.0,6290.857142857143,6553.195000000001,0.3333333333333333,0.4193904761904762,0.4368796666666667,0.007843051,41.0,8.9,2595.5,2595.5,2457.8,2457.8,4300.0,0.2866666666666667,6.8,13.0,230.0,98.0,0.0,0.0,4221.2,3680.0,4100.0,0,0,1,1
2026-06-02 07:00:00,4900.0,7101.585284570987,5961.382020927188,5961.382020927188,5354.320570464284,5354.320570464284,7,15000.0,4466.666666666667,6229.714285714285,6389.0,0.2977777777777778,0.4153142857142857,0.4259333333333333,0.0047062677,152.0,11.0,3045.6,3045.6,2888.5,2888.5,4600.0,0.3066666666666666,4.6,12.2,225.0,89.0,0.0,0.0,4719.0,4000.0,4500.0,0,0,1,1
2026-06-02 08:00:00,3760.0,5889.8972281497845,5269.572163530458,5269.572163530458,5040.392501770849,5040.392501770849,8,15000.0,4651.333333333333,5564.857142857143,5681.289285714286,0.3100888888888886,0.3709904761904762,0.378752619047619,0.008609046,312.0,14.0,3230.7,3230.7,3102.4,3102.4,4300.0,0.2866666666666667,3.5,11.5,195.0,88.0,0.0,0.0,5161.3,4000.0,5600.0,0,0,1,1
2026-06-02 09:00:00,3950.0,5010.259529554023,3802.863178080125,3802.863178080125,3952.772174227189,3952.772174227189,9,15000.0,5380.0,5020.0,4402.5,0.3586666666666664,0.3346666666666667,0.2935,0.045425545,468.0,16.8,3254.7,3254.7,3220.3,3220.3,4590.0,0.306,3.3,14.8,174.0,98.0,0.0,0.0,5176.7,3751.0,4200.0,0,0,1,1
2026-06-02 10:00:00,3999.0,3998.800777160015,3347.3368019182976,2329.918400959149,2052.926451922428,2052.926451922428,10,15000.0,4146.666666666667,2563.5714285714284,2331.214285714286,0.2764444444444442,0.1709047619047619,0.1554142857142857,0.443097,595.0,18.0,3165.0,3165.0,3276.8,3276.8,4000.0,0.2666666666666666,5.8,19.1,178.0,68.0,0.0,0.0,5129.6,3890.0,3950.0,0,0,1,1
2026-06-02 11:00:00,2000.0,1907.5068961975212,2248.007540441662,1204.753770220831,1057.210035308494,1057.210035308494,11,15000.0,1598.3333333333333,869.2857142857143,1204.071428571429,0.1065555555555551,0.0579523809523809,0.0802714285714285,0.90549165,762.0,19.3,3015.1,3015.1,3288.8,3288.8,2850.0,0.19,9.0,27.4,175.0,13.0,0.0,0.0,5267.2,3949.0,3999.01,0,0,1,1
2026-06-02 12:00:00,2840.0,1245.500073696766,1121.9586902155208,625.9793451077604,637.0261546336789,637.0261546336789,12,15000.0,2546.6666666666665,1217.571428571429,1298.7857142857142,0.169777777777778,0.0811714285714286,0.0865857142857143,0.9519143,852.0,20.4,2997.0,2997.0,3291.1,3291.1,2850.0,0.19,10.7,31.3,174.0,31.0,0.0,0.0,5270.5,1887.0,2001.0,0,0,1,1
2026-06-02 13:00:00,2790.0,1874.8994372951256,2145.226729932772,1135.113364966386,951.5688664833941,951.5688664833941,13,15000.0,1488.0,824.0014285714286,1098.2621428571429,0.0991999999999998,0.0549334285714286,0.0732174761904761,0.8948608,867.0,21.0,3040.3,3040.3,3372.2,3372.2,2850.0,0.19,12.4,35.3,177.0,85.0,0.0,0.0,5152.1,2727.0,2840.01,0,0,1,1
2026-06-02 14:00:00,3082.0,3313.415255817389,2508.021073502579,1322.5105367512895,1110.82088262419,1110.82088262419,14,15000.0,1350.0,795.5714285714286,1068.7857142857142,0.0899999999999999,0.0530380952380952,0.0712523809523809,0.6049915,694.0,19.9,3024.0,3024.0,3322.5,3322.5,3450.0,0.23,13.1,36.4,171.0,84.0,0.0,0.0,5050.8,2677.0,3000.0,0,0,1,1
2026-06-02 15:00:00,2200.0,4264.593328326929,2875.4893930873177,1559.4946965436588,1285.6517703504132,1285.6517703504132,15,15000.0,1465.0,870.5714285714286,1200.5,0.0976666666666666,0.0580380952380951,0.0800333333333333,0.56858605,668.0,20.8,3036.1,3036.1,3316.3,3316.3,3500.0,0.2333333333333333,13.2,37.1,169.0,96.0,0.0,0.0,5023.2,2969.0,3082.0,0,0,1,1
2026-06-02 16:00:00,3000.0,3883.862558685368,3619.6072627993067,2163.3036313996536,2063.7677994797705,2063.7677994797705,16,15000.0,2020.3333333333333,1422.428571428571,1598.267857142857,0.1346888888888886,0.0948285714285715,0.1065511904761904,0.5901124,558.0,19.8,3047.8,3047.8,3247.5,3247.5,4948.0,0.3298666666666666,13.4,37.1,172.0,88.0,0.0,0.0,4756.7,2087.0,3000.0,0,0,1,1
2026-06-02 17:00:00,4000.0,4001.833895241871,3716.0193674634406,3716.0193674634406,3852.6451092092507,3852.6451092092507,17,15000.0,3933.3333333333335,3123.712857142857,3468.7157142857145,0.2622222222222224,0.2082475238095238,0.2312477142857142,0.23444864,446.0,19.6,3040.0,3040.0,3273.1,3273.1,5200.0,0.3466666666666667,13.8,36.7,166.0,97.0,0.0,0.0,4729.5,2887.0,5500.0,0,0,1,1
2026-06-02 18:00:00,5480.0,6711.880829984396,5960.182400607378,5960.182400607378,6033.568413176394,6033.568413176394,18,15000.0,6252.0,6102.285714285715,5799.071428571428,0.4167999999999998,0.4068190476190476,0.3866047619047618,0.0046962434,241.0,18.9,3285.2,3285.2,3460.9,3460.9,6907.0,0.4604666666666667,14.1,37.8,169.0,100.0,0.0,0.0,4907.6,3975.0,5998.9,0,0,1,1
2026-06-02 19:00:00,7600.0,8784.631752690851,8603.80135092744,8603.80135092744,8648.215396655925,8648.215396655925,19,15000.0,8698.333333333334,9525.285714285714,8941.214285714286,0.5798888888888886,0.6350190476190475,0.5960809523809524,0.0003658384,180.0,19.0,3380.2,3380.2,3696.4,3696.4,9105.0,0.607,10.7,36.4,174.0,100.0,0.0,0.0,4990.6,5000.0,5480.0,0,0,1,1
2026-06-02 20:00:00,8300.0,10312.562407966328,10381.240693143278,10381.240693143278,10503.256186216284,10503.256186216284,20,15000.0,9621.896666666667,11149.24142857143,10542.263571428572,0.6414597777777776,0.743282761904762,0.7028175714285714,0.00018745572,64.0,19.0,3349.4,3349.4,3663.6,3663.6,10365.69,0.691046,6.8,27.7,153.0,100.0,0.0,0.0,5004.4,7497.0,10000.0,0,0,1,1
2026-06-02 21:00:00,8989.0,13190.585083485212,13039.836299213526,13039.836299213526,13032.26065083457,13190.585083485212,21,15000.0,11702.713333333331,13440.287142857142,12607.856428571427,0.7801808888888887,0.8960191428571428,0.8405237619047619,0.00016868942,21.0,17.9,3452.3,3452.3,3755.1,3755.1,13618.14,0.907876,9.2,17.6,178.0,100.0,0.0,0.0,5028.0,7509.2,8300.0,0,0,1,1
2026-06-02 22:00:00,7600.0,10081.69825334032,10327.765647660744,10327.765647660744,10403.122392414703,10403.122392414703,22,15000.0,10701.333333333334,12793.542857142858,11684.762857142856,0.713422222222222,0.8529028571428572,0.7789841904761905,0.00028136343,0.0,16.3,3269.5,3269.5,3560.1,3560.1,10500.0,0.7,9.8,24.8,198.0,99.0,0.0,0.0,5091.6,8000.02,8989.0,0,0,1,1
2026-06-02 23:00:00,5980.0,7561.99454146189,7126.628351804233,7126.628351804233,6656.021129917688,6656.021129917688,23,15000.0,8050.670000000001,9498.924285714284,8885.777142857143,0.5367113333333332,0.6332616190476191,0.5923851428571428,0.00033189918,0.0,15.3,2592.3,2592.3,2922.5,2922.5,7100.0,0.4733333333333333,9.5,19.8,209.0,99.0,0.0,0.0,4503.6,7007.0,7600.0,0,0,1,1
2026-06-03 00:00:00,4596.42,7727.929682603474,6995.64530615723,6995.64530615723,6010.043644440971,6010.043644440971,0,15000.0,5797.333333333333,7184.571428571428,8174.464285714285,0.3864888888888893,0.4789714285714286,0.5449642857142857,0.00047243858,0.0,14.7,2400.8,2400.8,2677.2,2677.2,5900.0,0.3933333333333333,7.4,19.4,225.0,100.0,0.0,0.0,3690.9,2298.21,4596.42,0,0,1,2
