candidate,group_by,rolling,stat,thr,hours,distop,distthr,alpha,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
f_rolling_mean_hour_3d,"hour,weekend",3,median,100,peakerr,ge_abs,1000.0,-0.2,16,6.281538749125653,10.916289065228572,6.341844306929226,-49.32610380130289,-0.03417029064411281,-0.1195976119042772,-0.03374162521472801
f_rolling_mean_hour_3d,"hour,weekend",3,median,100,peakerr,ge_rel,0.05,-0.2,16,6.281538749125653,10.916289065228572,6.341844306929226,-49.32610380130289,-0.03417029064411281,-0.1195976119042772,-0.03374162521472801
f_rolling_mean_hour_3d,"hour,weekend",3,median,100,peakerr,ge_abs,500.0,-0.2,18,6.281751706885168,10.91787591434277,6.342054593139049,-49.31417257539974,-0.033957332884598124,-0.11801076279007816,-0.033531339004905014
f_rolling_mean_hour_3d,"hour,source_ratio_bin,diff_bin",5,median,-250,7-18,ge_abs,1000.0,0.5,10,6.282233578912535,11.035886677132849,6.3425304200940555,-48.073011386754885,-0.03347546085723074,0.0,-0.03305551204989854
f_rolling_mean_hour_3d,"hour,source_ratio_bin,diff_bin",8,median,-250,7-18,ge_abs,1000.0,0.5,10,6.282233578912535,11.035886677132849,6.3425304200940555,-48.073011386754885,-0.03347546085723074,0.0,-0.03305551204989854
f_rolling_mean_hour_3d,"hour,source_ratio_bin,diff_bin",13,median,-250,7-18,ge_abs,1000.0,0.5,10,6.282233578912535,11.035886677132849,6.3425304200940555,-48.073011386754885,-0.03347546085723074,0.0,-0.03305551204989854
f_rolling_mean_hour_3d,"hour,source_ratio_bin,diff_bin",21,median,-250,7-18,ge_abs,1000.0,0.5,10,6.282233578912535,11.035886677132849,6.3425304200940555,-48.073011386754885,-0.03347546085723074,0.0,-0.03305551204989854
f_rolling_mean_hour_3d,"hour,source_ratio_bin,diff_bin",34,median,-250,7-18,ge_abs,1000.0,0.5,10,6.282233578912535,11.035886677132849,6.3425304200940555,-48.073011386754885,-0.03347546085723074,0.0,-0.03305551204989854
f_rolling_mean_hour_3d,"hour,source_ratio_bin,diff_bin",55,median,-250,7-18,ge_abs,1000.0,0.5,10,6.282233578912535,11.035886677132849,6.3425304200940555,-48.073011386754885,-0.03347546085723074,0.0,-0.03305551204989854
f_rolling_mean_hour_3d,"hour,source_ratio_bin,diff_bin",5,median,-250,7-18,ge_rel,0.1,0.5,11,6.282248204316438,11.035886677132849,6.342544862022637,-47.81347701979434,-0.03346083545332856,0.0,-0.03304107012131752
