datetime,n,wmape,mae,bias
2026-06-02,24.0,24.844581322996515,1115.6252204913892,832.5073398517228
2026-06-12,24.0,18.15895126291509,1180.4830810210412,-777.190200113631
2026-06-04,24.0,16.415634638280874,513.7478055482978,151.5589420351669
2026-03-31,24.0,16.2440721054348,1301.401011192089,-1146.612868459445
2026-06-15,24.0,12.767125456268172,766.6806722358906,-471.9476742137176
2026-06-05,24.0,11.04395570340809,372.41599126355004,181.68243708113445
2026-06-08,24.0,10.867101262976659,629.1630078293659,-447.771783140428
2026-06-06,24.0,10.712814716813748,519.1162191400022,-234.47252641587644
2026-06-13,24.0,9.970150992377103,376.05569219542423,81.20028688278676
2026-05-02,24.0,9.84843002898787,461.27543113146817,-271.6470432939564
2026-06-03,24.0,9.701369768613059,418.8711109697737,-30.856600663083004
2026-06-10,24.0,9.681376927984081,500.11322763496463,-303.01225144125766
2026-03-23,24.0,9.64110980379381,1039.3329276331226,-813.3949494555922
2026-05-14,24.0,9.29768124419516,385.24946109356506,261.40529394522645
2026-05-01,24.0,9.247225874722362,359.6629902553327,179.74510363221327
2026-03-30,24.0,9.185965988879124,699.2511175665104,-199.9710177797118
2026-03-25,24.0,8.798895970617636,584.2057775827476,460.1404923149432
2026-06-14,24.0,8.737757383257353,278.1191767768385,235.40841925959566
2026-06-07,24.0,8.621880359662187,390.1588388644962,145.15461350155448
2026-04-05,24.0,8.597674954201844,193.9219915378483,-40.050365316346955
2026-06-11,24.0,8.543930504347864,486.45825958715267,179.74124065706587
2026-04-08,24.0,8.531913436528006,322.54155759332366,144.10746562177596
2026-05-11,24.0,7.824954301216707,409.2250911122131,-138.45021268909997
2026-05-15,24.0,7.7399049789240895,457.699280928676,106.67851056600365
2026-05-04,24.0,7.482370329399682,335.8586628523204,-13.714105969651618
2026-04-06,24.0,7.280448147905344,191.03380241693148,14.8689956650826
2026-06-09,24.0,7.128011042441338,388.08257130263604,118.33241748177528
2026-06-01,24.0,6.997827087218327,373.1557179852123,291.62600000437806
2026-05-05,24.0,6.7125048995179775,257.9056257476466,-132.92890689327294
2026-05-09,24.0,6.703691862754164,233.47282835007067,186.4535825602048
2026-05-13,24.0,6.615979712196288,515.0639721306314,-188.18135771492447
2026-05-07,24.0,6.555886002796749,241.04894721378173,21.139954189212673
2026-03-27,24.0,6.5306067918434225,448.98683598049246,161.63988090356142
2026-05-31,24.0,6.213914385918315,321.0729563203993,-131.50988888149342
2026-05-18,24.0,6.0791159651172055,460.6545362051016,55.5655456288132
2026-04-29,24.0,6.061681228882584,415.23637828873046,-405.4956603492189
2026-03-18,24.0,5.883649779218958,426.43131981066773,65.96291688808104
2026-05-22,24.0,5.861382061582051,364.5372520475009,-316.8649380029435
2026-05-03,24.0,5.8600626164374985,206.48394550641328,58.172191998083115
2026-04-04,24.0,5.837540614757977,188.79506302305404,-59.82819280881308
2026-03-17,24.0,5.728911096539099,538.0089635102285,113.80318184919027
2026-04-10,24.0,5.713837417955958,398.30286899599156,-249.777683358795
2026-05-16,24.0,5.634604914768087,247.05437058747097,-187.75580066774796
2026-03-22,24.0,5.595332678042537,402.1333422546272,-168.4546904208535
2026-05-12,24.0,5.566404978618097,300.60222016000193,211.30765584548917
2026-05-25,24.0,5.478727883364353,287.10928769474896,189.20834047072546
2026-03-26,24.0,5.471916641556694,435.93100068567577,-146.60215317088304
2026-03-21,24.0,5.405843493857479,404.37704991277104,-150.29114176095413
2026-04-09,24.0,5.389372944899903,262.76000071462494,193.00678366950333
2026-03-19,24.0,5.359929533209016,461.00528351429557,236.27395119201026
2026-05-24,24.0,5.3135667620820985,220.70563742153254,134.35570076303028
2026-03-16,1.0,5.274395802527362,483.76758300780966,-483.76758300780966
2026-04-12,24.0,5.147532950609789,172.5144193067365,134.54376151749264
2026-04-11,24.0,5.042737982742238,285.8511744911482,-185.37761169782644
2026-05-08,24.0,5.0012320109525366,202.40402717659163,-10.40033712051393
2026-04-02,24.0,4.804018047901561,235.2358096253787,46.9311186467994
2026-03-29,24.0,4.7820037123895345,310.95987345595637,-77.30405772674544
2026-05-20,24.0,4.730649104993233,284.97757411709,92.62624777152035
2026-05-21,24.0,4.709954147431069,242.2368275145515,35.68253759907841
2026-05-30,24.0,4.692812254030445,249.49924905423055,-129.00130162704153
2026-05-17,24.0,4.4831851311865565,192.33051012170793,-32.03013621116566
2026-04-26,24.0,4.419385695485481,192.8870533507012,-8.202901296486624
2026-03-20,24.0,4.404409420582368,380.8081747764986,26.09299341826184
2026-04-03,24.0,4.400090988552525,221.85460435118807,-158.81618804597855
2026-05-28,24.0,4.393228581541037,269.4678093032453,-91.1081732393476
2026-05-29,24.0,4.367357045626409,240.20547458621954,41.10918434713445
2026-05-06,24.0,4.32487141577024,159.652646333456,41.5423165294122
2026-04-07,24.0,4.302341763969919,252.6908012314705,77.90724733716989
2026-05-10,24.0,4.044665625769801,169.9517937628148,74.5974564831762
2026-06-16,24.0,4.0274879421460446,290.41232172509257,-199.2934398592761
2026-03-28,24.0,3.8794820607557776,257.8210508363745,83.77592429716363
2026-04-20,24.0,3.4944124639617136,249.7029978471795,-1.6312109539712576
2026-04-30,24.0,3.414711593666512,213.2652150079131,-129.1511303280598
2026-04-19,24.0,3.387572877801008,153.2846097900186,-95.45208079742173
2026-05-23,24.0,3.2666481878948592,163.9369706970835,24.56104346939158
2026-03-24,24.0,3.2162911678133304,259.1793694644651,-210.95684961555784
2026-05-27,24.0,3.0209601407406685,180.2556566644278,5.892694798684261
2026-04-18,24.0,2.9577286920155577,157.30731808736854,-8.41399423969148
2026-04-15,24.0,2.9412462013819995,202.80341098574593,-152.98337416134902
2026-05-26,24.0,2.638836923462308,150.01972628467863,-27.026010239208375
2026-05-19,24.0,2.605861505934047,190.48739030815136,-36.35994979274013
2026-04-01,24.0,2.492879580410503,150.30741604997888,75.80403692058773
2026-04-14,24.0,2.365732754900403,125.6805284688453,-42.50720048000035
2026-04-17,24.0,2.154611620543232,128.86707863088338,42.730125833378146
2026-04-23,24.0,1.9324181934489968,112.61483455803204,48.0302124341992
2026-04-13,24.0,1.9154238308224911,83.91856483786025,-55.50101349827918
2026-04-24,24.0,1.90725303608396,120.88648145336687,5.042907384544928
2026-04-28,24.0,1.6858871759251377,106.07459512964003,-28.31787323442437
2026-04-16,24.0,1.6799863747993444,116.38268710099676,-59.78300419589656
2026-04-25,24.0,1.5846511964571666,91.61507049096785,-58.242223234696475
2026-04-21,24.0,1.3992529480388693,88.28909469873419,29.513858335666118
2026-04-22,24.0,1.2943605349346905,84.82014696622669,-28.75284792223559
2026-04-27,24.0,0.9787962672228726,59.59209799882573,20.868812294287697
