kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied,rolling,stat,beta,hours,gate,thr,delta_3m,delta_14d,delta_all
day,6.325868157828683,11.072767776000177,6.385617604324513,-49.4556653403904,85,1,mean,0.05,11-15,absbias,250,-0.0025440852525662194,-0.0018481050246581532,-0.0025121697676047106
hour,6.325869957885261,11.074615881024835,6.385619381799426,-50.51494475123872,39,55,mean,-0.3,11-15,absbias,250,-0.0025422851959886472,0.0,-0.0025103922926916766
day,6.325872816739054,11.073945231406851,6.3856222047889695,-49.21491505617716,2208,14,mean,0.05,all,none,0,-0.0025394263421958385,-0.0006706496179837984,-0.002507569303148216
hour,6.325875900854068,11.076617550096156,6.38562525021384,-48.58826213747501,488,21,mean,0.05,10-18,wmape,25,-0.002536342227181798,0.002001669071320933,-0.002504523878277709
day,6.325878210462628,11.07569227596131,6.38562753084842,-49.438769257329476,644,8,mean,0.05,10-16,none,0,-0.0025340326186213957,0.0010763949364758219,-0.0025022432436978548
hour,6.325878467740452,11.076636677182181,6.385627784898701,-48.584128498230214,486,21,mean,0.05,10-16,wmape,25,-0.0025337753407974617,0.002020796157346183,-0.0025019891934165983
hour,6.325882640260638,11.066276479441465,6.385631905074726,-50.73745227691593,404,8,median,-0.2,10-16,wmape,15,-0.0025296028206112098,-0.008339401583370432,-0.002497869017391352
hour,6.325882640260638,11.066276479441465,6.385631905074726,-50.73745227691593,404,8,median,-0.2,10-18,wmape,15,-0.0025296028206112098,-0.008339401583370432,-0.002497869017391352
hour,6.325889937647164,11.041080010901066,6.385639110915722,-49.3501117797299,72,2,mean,-0.1,"7-9,11,17,18",wmape,35,-0.0025223054340859363,-0.03353587012376913,-0.002490663176395458
hour,6.325889937647164,11.041080010901066,6.385639110915722,-49.3501117797299,72,2,median,-0.1,"7-9,11,17,18",wmape,35,-0.0025223054340859363,-0.03353587012376913,-0.002490663176395458
hour,6.325891429650217,11.07470033179941,6.385640584201637,-48.77817781296527,373,34,mean,0.05,11-15,wmape,25,-0.002520813431032387,8.445077457430727e-05,-0.0024891898904808585
hour,6.325893009383926,11.071158015172193,6.385642144117624,-50.254032448371746,419,13,median,-0.1,11-15,wmape,10,-0.002519233697323209,-0.0034578658526420725,-0.002487629974493366
hour,6.325905436929808,11.068072825216644,6.385654415760259,-50.32510225244946,251,13,median,-0.3,11-15,wmape,25,-0.0025068061514419426,-0.006543055808190701,-0.002475358331858857
hour,6.3259151028660625,11.074570821671964,6.385663960437587,-50.806488488013386,460,34,median,-0.2,11-15,none,0,-0.002497140215186988,-4.505935287113516e-05,-0.0024658136545303577
hour,6.325915334654858,11.069517923138395,6.385664189318599,-50.40891563083742,487,13,median,-0.1,10-16,wmape,10,-0.0024969084263917196,-0.00509795788643963,-0.0024655847735184366
day,6.32592036690877,11.075231338297677,6.385669158443015,-49.348896744687536,1104,34,mean,0.05,7-18,none,0,-0.002491876172479479,0.0006154572728416241,-0.0024606156491024933
day,6.325940841991443,11.078063340698389,6.385689376666294,-49.08646166696391,30,1,mean,0.1,11-15,absbias,500,-0.002471401089806591,0.0034474596735538654,-0.0024403974258238037
hour,6.325954083352777,11.076314344507884,6.385702451915087,-50.32616751852548,35,8,median,-0.3,11-15,absbias,250,-0.0024581597284720758,0.0016984634830485845,-0.0024273221770307885
hour,6.32595497578929,11.074615881024835,6.385703333156006,-50.26276538507097,39,55,mean,-0.2,11-15,absbias,250,-0.0024572672919598304,0.0,-0.0024264409361114403
day,6.325958432043878,11.074615881024835,6.385706746051967,-50.65764775427784,20,8,mean,0.5,19-23,absbias,250,-0.0024538110373715227,0.0,-0.002423028040150932
day,6.325958497366077,11.073642110131063,6.3857068105547015,-49.440103099003245,460,21,mean,0.1,11-15,none,0,-0.0024537457151723174,-0.0009737708937720413,-0.002422963537416223
day,6.325970829653414,11.070561517818463,6.385718988133807,-49.422130855186964,30,1,mean,0.05,11-15,absbias,500,-0.002441413427835215,-0.004054363206371647,-0.0024107859583111235
hour,6.32597558444762,11.076915249337379,6.385723683279239,-49.38458887449439,1108,13,mean,0.05,all,absbias,100,-0.0024366586336297402,0.002299368312543848,-0.0024060908128786807
hour,6.3259955371912255,11.075921552132517,6.385743385716185,-49.43269168975991,995,21,mean,0.05,all,absbias,100,-0.0024167058900239624,0.0013056711076817606,-0.0023863883759327464
hour,6.326000919706015,11.076646048182646,6.385748700707461,-48.56085033832922,516,21,mean,0.05,10-18,wmape,20,-0.002411323375234531,0.0020301671578106806,-0.002381073384656318
hour,6.326002365548415,11.07352603964062,6.385750128411805,-50.13708893809239,35,8,median,-0.2,11-15,absbias,250,-0.0024098775328340594,-0.0010898413842141963,-0.002379645680313125
hour,6.3260034865924,11.076665175268674,6.385751235392322,-48.556716699084426,514,21,mean,0.05,10-16,wmape,20,-0.0024087564888493063,0.0020492942438394834,-0.0023785386997960956
hour,6.326007094757734,11.075924912918591,6.385754798293311,-48.45134972681101,550,34,mean,0.05,10-16,wmape,15,-0.0024051483235156823,0.0013090318937560852,-0.0023749757988067444
hour,6.326007272210384,11.075926235202324,6.385754973519823,-48.4524376973236,552,34,mean,0.05,10-18,wmape,15,-0.0024049708708657747,0.001310354177489259,-0.0023748005722943333
day,6.32601062041171,11.075048589274804,6.385758279718047,-49.34981606513726,828,8,mean,0.05,10-18,none,0,-0.0024016226695398046,0.0004327082499688828,-0.002371494374070693
hour,6.3260126240121135,11.07470033179941,6.385760258183337,-48.759780623233056,399,34,mean,0.05,11-15,wmape,20,-0.002399619069135994,8.445077457430727e-05,-0.0023695159087804285
hour,6.326013809103948,11.072744266216677,6.385761428408225,-51.426780580989345,80,13,median,-0.5,11-15,absbias,100,-0.0023984339773015506,-0.0018716148081576733,-0.0023683456838927697
hour,6.3260178471741355,11.074615881024835,6.385765415820924,-49.83469546576082,27,21,median,-0.5,10-16,absbias,250,-0.0023943959071139886,0.0,-0.002364358271194078
hour,6.3260178471741355,11.074615881024835,6.385765415820924,-49.83469546576082,27,34,median,-0.5,10-16,absbias,250,-0.0023943959071139886,0.0,-0.002364358271194078
hour,6.3260178471741355,11.074615881024835,6.385765415820924,-49.83469546576082,27,55,median,-0.5,10-16,absbias,250,-0.0023943959071139886,0.0,-0.002364358271194078
day,6.32602915437668,11.076699039803309,6.385776581174898,-49.37926315502588,49,1,mean,0.05,10-16,wmape,12,-0.0023830887045699356,0.0020831587784737593,-0.00235319291721936
day,6.326032103155718,11.056880331303065,6.3857794929615785,-50.286358422233675,96,5,mean,0.1,all,wmape,12,-0.0023801399255312106,-0.017735549721770383,-0.0023502811305391447
day,6.32603591705167,11.074306190812328,6.385783259012304,-49.537453353618915,644,21,mean,0.05,10-16,none,0,-0.0023763260295792676,-0.00030969021250726314,-0.002346515079813649
hour,6.326036597122235,11.07470033179941,6.385783930551399,-48.9200843249053,331,34,mean,0.05,11-15,wmape,35,-0.002375645959014072,8.445077457430727e-05,-0.0023458435407190947
day,6.3260406658770485,11.075195901037663,6.385787948263786,-49.258243041475325,153,1,mean,0.05,10-18,absbias,250,-0.002371577204201003,0.0005800200128280864,-0.002341825828331423
hour,6.326059525331436,11.07411524685843,6.385806571126798,-50.84560050335464,460,55,median,-0.2,11-15,none,0,-0.0023527177498134932,-0.0005006341664053338,-0.0023232029653197372
day,6.326089473730509,11.057307826624193,6.3858361438239655,-51.006800688261734,20,5,mean,1.0,19-23,wmape,12,-0.0023227693507408276,-0.017308054400642092,-0.0022936302681522136
hour,6.326093584808924,11.06565533683581,6.385840203329006,-52.245963161629376,460,21,median,-0.5,11-15,none,0,-0.002318658272325358,-0.008960544189024588,-0.002289570763111648
hour,6.326095080251752,11.075924912918591,6.38584168001154,-48.347222522017184,581,34,mean,0.05,10-16,wmape,10,-0.0023171628294971214,0.0013090318937560852,-0.0022880940805780625
hour,6.326095268458744,11.075418684237198,6.385841865857481,-48.31423684644703,550,55,mean,0.05,10-16,wmape,15,-0.0023169746225057963,0.0008028032123625906,-0.0022879082346367596
hour,6.32609549776007,11.075420392869969,6.385842092282229,-48.30953167386136,552,55,mean,0.05,10-18,wmape,15,-0.0023167453211794253,0.0008045118451338595,-0.0022876818098884755
hour,6.326096047894531,11.07631614820324,6.385842635515264,-49.85161247934692,26,13,median,-0.1,11-15,absbias,250,-0.0023161951867187724,0.0017002671784052126,-0.00228713857685392
hour,6.326109934457567,11.074364493260687,6.385856347871719,-48.69674669633892,650,34,mean,0.05,all,wmape,25,-0.002302308623682414,-0.0002513877641483475,-0.002273426220398278
hour,6.3261145619466035,11.074712421857562,6.385860917309024,-48.659417360872325,373,55,mean,0.05,11-15,wmape,25,-0.0022976811346460124,9.654083272714331e-05,-0.002268856783093298
hour,6.326119071659972,11.071372118406094,6.385865370448153,-50.065641333108246,350,13,median,-0.1,11-15,wmape,15,-0.0022931714212779397,-0.0032437626187409307,-0.002264403643964741
hour,6.326122236293222,11.079051236481705,6.385868495381159,-48.36178770514014,604,21,mean,0.05,10-18,wmape,10,-0.0022900067880273767,0.004435355456870127,-0.002261278710959047
hour,6.326124605983859,11.069696176852096,6.385870835344086,-50.20929778872779,305,13,median,-0.2,11-15,wmape,20,-0.002287637097390771,-0.0049197041727389035,-0.0022589387480316248
day,6.326126319771888,11.074687685082448,6.3858725276326895,-49.48938675472526,644,34,mean,0.05,10-16,none,0,-0.00228592330936106,7.18040576135337e-05,-0.0022572464594281527
hour,6.3261348051482065,11.065297177009525,6.385880906560175,-51.14026689323326,350,13,median,-0.5,11-15,wmape,15,-0.002277437933043025,-0.00931870401531043,-0.0022488675319429774
hour,6.3261361975658295,11.07166946613874,6.385882281509955,-50.275114728274346,460,21,median,-0.1,11-15,none,0,-0.0022760455154200443,-0.002946414886094928,-0.0022474925821622804
hour,6.326136963977428,11.074606425725912,6.385883038306939,-50.33633855218429,353,34,median,-0.2,11-15,wmape,15,-0.002275279103821859,-9.455298922489419e-06,-0.002246735785178977
hour,6.326143911058174,11.070724244376317,6.385889898236735,-50.80541823343657,119,8,median,-0.3,11-15,absbias,100,-0.0022683320230756365,-0.0038916366485182152,-0.002239875855382323
hour,6.3261486895164625,11.066211370780627,6.385894616749385,-51.10400162704062,362,21,median,-0.5,11-15,wmape,15,-0.002263553564787024,-0.008404510244208296,-0.0022351573427323856
day,6.32615046041107,11.071124291433414,6.385896365428166,-49.4758821726497,35,1,mean,0.05,11-15,wmape,12,-0.00226178267017918,-0.0034915895914213735,-0.0022334086639519413
hour,6.32615705735665,11.07495737317811,6.385902879615229,-48.60477033953257,524,55,mean,0.05,all,wmape,35,-0.0022551857245991513,0.00034149215327516913,-0.002226894476888397
day,6.32616763234744,11.07452846524864,6.385913321943028,-49.55145995414797,644,14,mean,0.05,10-16,none,0,-0.002244610733809438,-8.741577619453267e-05,-0.0022164521490894984
day,6.326177320725717,11.081405144419557,6.385922888780844,-49.13277481564572,204,1,mean,0.05,7-18,absbias,250,-0.002234922355532909,0.006789263394722411,-0.002206885311273332
hour,6.326183880273277,11.06913552635742,6.385929366039046,-50.86958464653791,487,21,median,-0.2,10-16,wmape,10,-0.0022283628079726725,-0.00548035466741581,-0.002200408053071534
day,6.326196191919002,11.074355603373776,6.385941523235489,-49.043692703772265,2208,34,mean,0.05,all,none,0,-0.0022160511622475454,-0.00026027765105851586,-0.0021882508566291037
hour,6.3262027870966815,11.065974132339957,6.385948035676832,-51.1229809706454,460,8,median,-0.3,11-15,none,0,-0.0022094559845680095,-0.008641748684878436,-0.0021817384152855723
day,6.326207387469863,11.078069357030893,6.385952578338448,-49.336178004138446,460,1,mean,0.05,11-15,none,0,-0.0022048556113860585,0.003453476006058054,-0.002177195753669814
hour,6.3262082557530315,11.07411524685843,6.385953435729028,-50.375960758574685,356,55,median,-0.2,11-15,wmape,15,-0.0022039873282180267,-0.0005006341664053338,-0.002176338363089947
day,6.326218340523002,11.079996108953488,6.385963393985813,-48.399130246757686,2208,3,mean,0.05,all,none,0,-0.0021939025582478067,0.005380227928652559,-0.002166380106304544
hour,6.326219875789772,11.068003631253138,6.385964909992701,-50.2401208523458,306,21,median,-0.3,11-15,wmape,20,-0.002192367291477204,-0.006612249771697165,-0.002164864099416519
hour,6.326222657527938,11.075418684237198,6.3859676568340324,-48.22847990772209,578,55,mean,0.05,10-16,wmape,10,-0.0021895855533111686,0.0008028032123625906,-0.002162117258085239
day,6.326231018516049,11.078308625966294,6.385975912933761,-49.34966330132596,245,1,mean,0.05,11-15,absbias,100,-0.0021812245652004236,0.00369274494145877,-0.002153861158356918
day,6.326234619944217,11.07638382694531,6.385979469182103,-49.27136882719691,644,3,mean,0.05,10-16,none,0,-0.002177623137032292,0.0017679459204753556,-0.0021503049100148885
hour,6.326235756308502,11.074712421857562,6.385980591290726,-48.64102017114011,399,55,mean,0.05,11-15,wmape,20,-0.002176486772747843,9.654083272714331e-05,-0.00214918280139198
hour,6.32623885436151,11.064297374060663,6.38598365047874,-50.65501030713781,412,8,median,-0.2,11-15,wmape,10,-0.0021733887197399326,-0.010318506964171803,-0.0021461236133779593
hour,6.3262393236543275,11.081531640090255,6.385984113884289,-51.225536122242374,402,5,median,-0.3,11-15,wmape,10,-0.002172919426921993,0.0069157590654196355,-0.0021456602078284703
hour,6.326252283645549,11.066953485874281,6.385996911292749,-50.38460486722639,401,5,median,-0.1,10-16,wmape,15,-0.0021599594357004648,-0.007662395150553891,-0.002132862799368418
day,6.3262543679490415,11.074370771474513,6.385998969448709,-49.47497986584573,828,21,mean,0.05,10-18,none,0,-0.002157875132207998,-0.00024510955032219783,-0.002130804643408979
hour,6.326258288853443,11.074615881024835,6.386002841165463,-50.070337328024166,67,21,median,-0.1,11-15,absbias,100,-0.0021539542278068424,0.0,-0.0021269329266546677
hour,6.326260795616612,11.075924912918591,6.386005316481351,-48.318991072736644,644,34,mean,0.05,10-16,none,0,-0.002151447464637357,0.0013090318937560852,-0.002124457610766406
hour,6.326261920834581,11.074712421857562,6.386006427583489,-48.80171941293394,331,55,mean,0.05,11-15,wmape,35,-0.002150322246668779,9.654083272714331e-05,-0.002123346508628998
day,6.326278619646974,11.076553849925277,6.386022916909708,-49.304549731495285,42,1,mean,0.05,10-16,absbias,500,-0.002133623434275478,0.0019379689004423994,-0.0021068571824098825
day,6.326280281692206,11.074144569336516,6.386024558104622,-49.52743869603246,460,8,mean,0.05,11-15,none,0,-0.0021319613890433686,-0.00047131168831882064,-0.00210521598749569
hour,6.326285210669525,11.07471956637508,6.386029425248044,-48.82422779953533,519,34,mean,0.05,all,wmape,35,-0.0021270324117246275,0.00010368535024518621,-0.0021003488440740625
day,6.326297426695168,11.079168941737521,6.386041488023958,-49.18885033110378,35,1,mean,0.1,11-15,wmape,12,-0.002114816386081131,0.004553060712686019,-0.002088286068159917
day,6.326308961742087,11.074166144741739,6.386052878364004,-49.25797295319575,63,1,mean,0.05,10-18,wmape,12,-0.0021032813391625993,-0.00044973628309641356,-0.002076895728113648
day,6.326317661558209,11.07481363838649,6.386061469041153,-49.492816102540445,828,14,mean,0.05,10-18,none,0,-0.0020945815230408726,0.0001977573616542827,-0.0020683050509644474
hour,6.326325218174766,11.068330966052416,6.386068930860148,-50.234636811778856,460,8,median,-0.1,11-15,none,0,-0.0020870249064834923,-0.006284914972418676,-0.0020608432319697556
day,6.326330147379154,11.084387392179043,6.386073798227793,-49.15353063737079,85,1,mean,0.1,11-15,absbias,250,-0.002082095702095721,0.009771511154207602,-0.0020559758643248216
day,6.32633213125678,11.074615881024835,6.386075757217722,-51.65566985515927,15,14,mean,0.8,19-23,absbias,250,-0.0020801118244690997,0.0,-0.002054016874395437
day,6.32633213125678,11.074615881024835,6.386075757217722,-51.65566985515927,15,21,mean,0.8,19-23,absbias,250,-0.0020801118244690997,0.0,-0.002054016874395437
day,6.32633213125678,11.074615881024835,6.386075757217722,-51.65566985515927,15,34,mean,0.8,19-23,absbias,250,-0.0020801118244690997,0.0,-0.002054016874395437
hour,6.326332461368812,11.070573409724279,6.3860760831885095,-50.163353577786104,385,13,median,-0.1,10-16,wmape,15,-0.0020797817124371676,-0.0040424713005560164,-0.002053690903608185
hour,6.326332461368812,11.070573409724279,6.3860760831885095,-50.163353577786104,385,13,median,-0.1,10-18,wmape,15,-0.0020797817124371676,-0.0040424713005560164,-0.002053690903608185
day,6.3263456034610615,11.059216370539067,6.386089060413544,-50.132497235636244,20,5,mean,0.3,19-23,wmape,12,-0.002066639620188049,-0.01539951048576782,-0.0020407136785740576
hour,6.3263638597600504,11.074615881024835,6.3861070876877255,-51.08815421409844,42,34,mean,-0.5,11-15,absbias,250,-0.0020483833211990543,0.0,-0.002022686404392182
hour,6.326364539504777,11.07470033179941,6.386107758905071,-48.68113352875607,453,34,mean,0.05,11-15,wmape,10,-0.0020477035764727702,8.445077457430727e-05,-0.0020220151870464775
hour,6.326365969387587,11.070893511211962,6.3861091708500375,-50.1172988166785,119,8,median,-0.1,11-15,absbias,100,-0.0020462736936623926,-0.0037223698128734384,-0.002020603242080199
hour,6.326370892481966,11.068548625367477,6.386114032184323,-50.06069690697947,353,8,median,-0.1,11-15,wmape,15,-0.0020413505992831205,-0.006067255657358217,-0.0020157419077948546
hour,6.326371797592873,11.075418684237198,6.386114925940636,-48.19276965899348,644,55,mean,0.05,10-16,none,0,-0.0020404454883768963,0.0008028032123625906,-0.002014848151481452
hour,6.326385726980986,11.069060737187117,6.386128680584929,-51.41221734182464,487,21,median,-0.3,10-16,wmape,10,-0.00202651610026372,-0.005555143837717935,-0.0020010935071885783
day,6.326393950461259,11.074738060576665,6.386136800901849,-49.41268930837405,828,34,mean,0.05,10-18,none,0,-0.002018292619990092,0.00012217955183047025,-0.0019929731902683656
hour,6.326396733184479,11.074615881024835,6.386139548715879,-50.043569952630556,66,55,median,-0.1,11-15,absbias,100,-0.00201550989677024,0.0,-0.001990225376238719
hour,6.326397966863523,11.075854800372632,6.38614076691845,-50.85528868273269,382,55,median,-0.3,10-16,wmape,15,-0.0020142762177268736,0.0012389193477968519,-0.0019890071736679005
hour,6.326397966863523,11.075854800372632,6.38614076691845,-50.85528868273269,382,55,median,-0.3,10-18,wmape,15,-0.0020142762177268736,0.0012389193477968519,-0.0019890071736679005
day,6.3263984057468345,11.077711679092022,6.386141200295982,-49.415903659384746,105,1,mean,0.05,10-16,wmape,10,-0.0020138373344149585,0.0030957980671875163,-0.0019885737961358174
hour,6.326408799165932,11.074615881024835,6.386151463329899,-49.64615946748742,7,8,median,-0.2,11-15,absbias,500,-0.002003443915317149,0.0,-0.0019783107622188822
hour,6.326408799165932,11.074615881024835,6.386151463329899,-49.64615946748742,6,13,median,-0.2,11-15,absbias,500,-0.002003443915317149,0.0,-0.0019783107622188822
hour,6.326408799165932,11.074615881024835,6.386151463329899,-49.64615946748742,6,21,median,-0.2,11-15,absbias,500,-0.002003443915317149,0.0,-0.0019783107622188822
hour,6.326408799165932,11.074615881024835,6.386151463329899,-49.64615946748742,6,34,median,-0.2,11-15,absbias,500,-0.002003443915317149,0.0,-0.0019783107622188822
hour,6.326408799165932,11.074615881024835,6.386151463329899,-49.64615946748742,6,55,median,-0.2,11-15,absbias,500,-0.002003443915317149,0.0,-0.0019783107622188822
hour,6.326430576397335,11.066896323531942,6.386172967366485,-50.94973163644662,401,5,median,-0.2,10-16,wmape,15,-0.001981666683914085,-0.007719557492892548,-0.0019568067256328092
hour,6.326431291712808,11.07470033179941,6.386173673708346,-48.75601345862729,428,34,mean,0.05,11-15,wmape,15,-0.0019809513684414526,8.445077457430727e-05,-0.001956100383771364
day,6.326433406714467,11.078754629682683,6.386175762177364,-48.768803211472836,644,3,mean,0.1,10-16,none,0,-0.0019788363667823106,0.004138748657847913,-0.0019540119147540835
day,6.326451184428146,11.07064037813155,6.3861933168700755,-48.204940708911835,144,1,mean,0.05,all,absbias,500,-0.0019610586531033647,-0.003975502893284855,-0.001936457222042165
hour,6.326466024417362,11.069460304845547,6.386207970692001,-50.14527165909246,251,13,median,-0.2,11-15,wmape,25,-0.0019462186638872225,-0.005155576179287635,-0.0019218034001164952
hour,6.326468249870082,11.074588954003968,6.386210168226472,-50.4990134388189,382,55,median,-0.2,10-16,wmape,15,-0.0019439932111673386,-2.6927020867262286e-05,-0.0019196058656456572
hour,6.326468249870082,11.074588954003968,6.386210168226472,-50.4990134388189,382,55,median,-0.2,10-18,wmape,15,-0.0019439932111673386,-2.6927020867262286e-05,-0.0019196058656456572
hour,6.326471946695851,11.069452639106178,6.386213818675657,-50.34892740710451,330,13,median,-0.2,10-16,wmape,20,-0.0019402963853982769,-0.0051632419186571354,-0.001915955416460946
hour,6.326471946695851,11.069452639106178,6.386213818675657,-50.34892740710451,330,13,median,-0.2,10-18,wmape,20,-0.0019402963853982769,-0.0051632419186571354,-0.001915955416460946
hour,6.32647713218168,11.074615881024835,6.386218939109699,-51.17953361004465,66,55,median,-0.5,11-15,absbias,100,-0.0019351108995691035,0.0,-0.0019108349824188409
hour,6.326483444956499,11.075099673536242,6.386225172690916,-48.83200448514995,556,21,mean,0.05,all,wmape,35,-0.0019287981247506636,0.0004837925114067332,-0.0019046014012014112
hour,6.326491428330903,11.077545913854713,6.386233055914091,-48.44202829500096,583,21,mean,0.05,10-16,wmape,10,-0.0019208147503464446,0.0029300328298784706,-0.001896718178026724
day,6.326493224947992,11.083977584811318,6.386234829992665,-48.971276696052556,720,3,mean,0.05,all,absbias,100,-0.0019190181332575662,0.009361703786483488,-0.0018949440994528999
hour,6.326508788883778,11.074615881024835,6.386250198679272,-50.04984801390013,67,34,median,-0.1,11-15,absbias,100,-0.0019034541974711772,0.0,-0.0018795754128460018
hour,6.326511382224403,11.077330054839532,6.386252759486505,-48.54913416262619,546,21,mean,0.05,10-16,wmape,15,-0.0019008608568462648,0.002714173814696963,-0.0018770146056130699
hour,6.326511914882027,11.077334023923727,6.38625328546195,-48.55415105362817,550,21,mean,0.05,10-18,wmape,15,-0.0019003281992224785,0.002718142898892495,-0.0018764886301676498
hour,6.32651760657413,11.066498311947521,6.386258905751921,-50.266242666183174,404,8,median,-0.1,10-16,wmape,15,-0.001894636507119074,-0.008117569077313647,-0.001870868340196452
hour,6.32651760657413,11.066498311947521,6.386258905751921,-50.266242666183174,404,8,median,-0.1,10-18,wmape,15,-0.001894636507119074,-0.008117569077313647,-0.001870868340196452
day,6.326525881320691,11.090318438477311,6.386267076691997,-49.002873570527655,49,1,mean,0.1,10-16,wmape,12,-0.0018863617605582306,0.015702557452476285,-0.001862697400120794
hour,6.326526137008097,11.07573444808482,6.386267329171812,-48.932474651106205,347,21,mean,0.05,11-15,wmape,35,-0.0018861060731527601,0.0011185670599846986,-0.0018624449203059612
day,6.326529222095564,11.058601192413366,6.386270375556934,-49.89600660961403,75,3,mean,-0.1,19-23,wmape,10,-0.0018830209856854907,-0.016014688611468486,-0.0018593985351840203
hour,6.326531495695788,11.07470033179941,6.3862726206349,-48.648780432447694,460,34,mean,0.05,11-15,none,0,-0.001880747385461845,8.445077457430727e-05,-0.0018571534572178194
hour,6.326536726479398,11.076026115875978,6.3862777857984625,-48.79679666915081,613,21,mean,0.05,all,wmape,25,-0.001875516601851146,0.0014102348511428886,-0.0018519882936551824
day,6.326541727784743,11.078664502370556,6.386282724362559,-49.11565710103501,644,8,mean,0.1,10-16,none,0,-0.00187051529650617,0.004048621345720704,-0.0018470497295588473
hour,6.326544202172457,11.069028909887471,6.386285167709143,-48.73773415385012,2208,55,mean,0.05,all,none,0,-0.0018680409087927785,-0.005586971137363506,-0.0018446063829751225
hour,6.3265493025307595,11.071780672927702,6.386290204083579,-50.04494363292083,362,21,median,-0.1,11-15,wmape,15,-0.0018629405504899665,-0.002835208097133446,-0.0018395700085385158
hour,6.326549711999238,11.07166946613874,6.386290608415288,-50.20294028579159,430,21,median,-0.1,11-15,wmape,10,-0.0018625310820112873,-0.002946414886094928,-0.001839165676829957
hour,6.326555691610208,11.07573444808482,6.386296513012189,-48.85152141861862,373,21,mean,0.05,11-15,wmape,25,-0.0018565514710413566,0.0011185670599846986,-0.0018332610799287608
day,6.326556539842912,11.068697649324994,6.386297350603834,-48.42643486311191,168,1,mean,0.05,all,wmape,12,-0.0018557032383377248,-0.005918231699840959,-0.0018324234882838297
day,6.326570692139883,11.072847781784617,6.3863113253606,-49.525594919889805,203,5,mean,0.05,10-16,absbias,100,-0.0018415509413660658,-0.001768099240218035,-0.0018184487315178188
day,6.326573264097725,11.073993994214728,6.386313865053294,-49.608791707993184,460,14,mean,0.05,11-15,none,0,-0.0018389789835246972,-0.0006218868101068864,-0.001815909038823449
day,6.32657840758252,11.073552516471699,6.386318944013203,-49.196544209866495,2208,21,mean,0.05,all,none,0,-0.001833835498729286,-0.0010633645531363811,-0.0018108300789148046
hour,6.326587671801163,11.074712421857562,6.38632809201246,-48.562373076663135,453,55,mean,0.05,11-15,wmape,10,-0.0018245712800863956,9.654083272714331e-05,-0.001801682079658029
hour,6.3265973862749565,11.075145475149133,6.386337684618424,-48.37996509957274,451,55,mean,0.05,10-16,absbias,100,-0.0018148568062930082,0.000529594124298427,-0.001792089473693359
hour,6.326597421397641,11.06789220094702,6.386337719300496,-50.47797202518995,269,13,median,-0.3,10-16,wmape,25,-0.0018148216836086917,-0.00672368007781543,-0.001792054791621922
hour,6.326597421397641,11.06789220094702,6.386337719300496,-50.47797202518995,269,13,median,-0.3,10-18,wmape,25,-0.0018148216836086917,-0.00672368007781543,-0.001792054791621922
day,6.326597547261531,11.074375389774579,6.386337843585428,-49.34279178466784,644,5,mean,0.05,10-16,none,0,-0.0018146958197187146,-0.0002404912502562695,-0.0017919305066893543
hour,6.326598414446641,11.089201375858302,6.386338699891721,-51.20802023103106,415,5,mean,-0.1,11-15,wmape,15,-0.0018138286346083277,0.014585494833466939,-0.0017910742003968139
hour,6.326618924974474,11.08736580504918,6.386358953115503,-50.377428499796174,213,1,mean,-0.1,11-15,wmape,35,-0.001793318106775743,0.012749924024344494,-0.0017708209766142957
hour,6.326618924974474,11.08736580504918,6.386358953115503,-50.377428499796174,213,1,median,-0.1,11-15,wmape,35,-0.001793318106775743,0.012749924024344494,-0.0017708209766142957
day,6.3266195584278995,11.074615881024835,6.386359578622272,-49.93776958558357,20,8,mean,0.1,19-23,absbias,250,-0.0017926846533500296,0.0,-0.0017701954698452482
hour,6.326619833812257,11.074615881024835,6.386359850551939,-49.77317912788016,27,21,median,-0.1,10-16,absbias,250,-0.0017924092689929338,0.0,-0.0017699235401789082
hour,6.326619833812257,11.074615881024835,6.386359850551939,-49.77317912788016,27,34,median,-0.1,10-16,absbias,250,-0.0017924092689929338,0.0,-0.0017699235401789082
hour,6.326619833812257,11.074615881024835,6.386359850551939,-49.77317912788016,27,55,median,-0.1,10-16,absbias,250,-0.0017924092689929338,0.0,-0.0017699235401789082
day,6.326631144285382,11.08509375586178,6.386371019135464,-48.45614347538933,408,1,mean,0.05,all,absbias,250,-0.0017810987958677416,0.010477874836945844,-0.0017587549566533411
day,6.32663716261624,11.074370481811858,6.3863769619665165,-49.56501489504715,460,34,mean,0.05,11-15,none,0,-0.0017750804650091823,-0.0002453992129769489,-0.0017528121256011886
hour,6.326637273333345,11.07693032772519,6.386377071294677,-51.48354465872629,460,3,mean,-0.1,11-15,none,0,-0.0017749697479043647,0.0023144467003550773,-0.0017527027974404419
day,6.326649441889713,11.04270691998165,6.386389087196815,-50.040961077388445,75,3,mean,-0.2,19-23,wmape,10,-0.0017628011915364894,-0.03190896104318419,-0.001740686895302268
day,6.3266497836161575,11.075486162343518,6.38638942463631,-49.292995978441006,460,8,mean,0.1,11-15,none,0,-0.0017624594650920145,0.0008702813186829417,-0.0017403494558072552
hour,6.32665034843771,11.064913169391117,6.38638998237219,-50.9183067566142,269,13,median,-0.5,10-16,wmape,25,-0.0017618946435398186,-0.009702711633718053,-0.0017397917199275525
