3m,14d,all,bias3,low,summer,cap,eve,applied,rolling_days,beta,hours_name,hours,gate,th
6.423454768320719,11.232996364240668,6.481979993263258,-50.795987849937255,49.86103386604627,35.497560176475254,1.558266052465585,2.997123086037613,8,2,-0.3,night,"0-6,23",absbias,700
6.424683200877368,11.232996364240668,6.483193015164643,-49.99894323292737,49.86103386604627,35.497560176475254,1.5608008707946697,2.9834516417732915,55,14,0.2,evening,19-23,absbias,150
6.424790828596075,11.232996364240668,6.4832992926963495,-50.48449672513823,49.86103386604627,35.497560176475254,1.558266052465585,2.9953664401342737,8,2,-0.2,night,"0-6,23",absbias,700
6.424878982207232,11.232996364240668,6.48338634042269,-49.610012018787934,49.72559791633402,35.497560176475254,1.558266052465585,2.991853148327597,119,21,-0.3,nooneve,"11-15,17-18",absbias,100
6.4248923203796116,11.232996364240668,6.483399511268035,-50.06765761162099,49.86103386604627,35.497560176475254,1.569258780020542,2.9839802265768673,55,14,0.3,evening,19-23,absbias,150
6.424957827713766,11.248311871211756,6.483464196814345,-51.35192748234533,49.86103386604627,35.497560176475254,1.5624785264705268,2.991230672992156,136,1,-0.1,night,"0-6,23",absbias,300
6.425119011645989,11.259303409712333,6.483623358698226,-52.09713398574791,49.86103386604627,35.497560176475254,1.5646475000746805,2.990939858949135,136,1,-0.15,night,"0-6,23",absbias,300
6.425174793093666,11.232996364240668,6.483678440369058,-49.964586043580574,49.86103386604627,35.497560176475254,1.5591033247075807,2.9846942239920833,55,14,0.15,evening,19-23,absbias,150
6.42519303245834,11.232996364240668,6.483696450921364,-48.680328930185475,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,35,21,-0.3,nooneve,"11-15,17-18",absbias,150
6.425327151130002,11.213027412081553,6.483828887077692,-50.31194308364295,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,4,3,1.0,morning,7-10,wmape,15
6.425349554850845,11.224722258528258,6.483851009744425,-49.64652515628176,49.79460708397481,35.49226599699445,1.563428319102584,2.991657959306188,130,10,-0.15,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.425401289832175,11.225631286133094,6.483902095711727,-49.577421895008044,49.83374651657804,35.58129056591124,1.5651490746482506,2.9916286183291776,130,10,-0.2,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.42540386023583,11.213599007955361,6.4839046338697335,-49.184990023761586,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,6,1,-0.3,h7890111718,"7-9,11,17,18",wmape,20
6.42540386023583,11.213599007955361,6.4839046338697335,-49.184990023761586,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,6,1,-0.3,h7890111718,"7-9,11,17,18",wmape,25
6.42540386023583,11.213599007955361,6.4839046338697335,-49.410498174354444,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,6,1,-0.2,h7890111718,"7-9,11,17,18",wmape,20
6.42540386023583,11.213599007955361,6.4839046338697335,-49.410498174354444,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,6,1,-0.2,h7890111718,"7-9,11,17,18",wmape,25
6.425437830276214,11.22388049094188,6.483938177756822,-49.64071006418853,49.75069625280755,35.31493235962525,1.5616406347232552,2.991862147149036,156,7,-0.1,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.425449871976091,11.213941863221317,6.48395006839388,-49.623928294075434,49.92296620287443,35.542525211642186,1.5547316598034675,2.9916058835707924,48,14,1.0,all,0-23,wmape,12
6.425473104463995,11.232996364240668,6.483973009430814,-50.7545963412749,49.86103386604627,35.497560176475254,1.569258780020542,2.9854482562817477,25,21,0.3,evening,19-23,absbias,150
6.425479590613871,11.22569121657817,6.483979414212102,-49.519056274006815,49.805766081834754,35.38693782962188,1.5633279258520907,2.991957297745487,156,7,-0.15,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.425485795448018,11.232996364240668,6.4839855412067635,-50.32875116273871,49.86103386604627,35.497560176475254,1.558266052465585,2.9944881171826045,8,2,-0.15,night,"0-6,23",absbias,700
6.425523732924794,11.232996364240668,6.484023002758856,-49.68685625641709,49.754197432117984,35.497560176475254,1.558266052465585,2.991853148327597,119,21,-0.2,nooneve,"11-15,17-18",absbias,100
