hour,n,wmape,mae,bias,target_floor,target_label
0,93,5.5443603599917335,408.2579556610864,38.95618984778703,5,5
1,93,4.087119716601726,224.42101010261828,-78.90885751550277,0,<5
2,93,7.084505987876103,321.0815960272796,-17.303700351359062,5,5
3,93,6.25700468732586,269.6265230440685,32.08672365515845,5,5
4,93,5.643946899956374,241.15078230378901,65.42171416711547,5,5
5,93,4.595773714391789,227.71852686247993,-59.89622252180783,0,<5
6,93,5.879407407075803,352.9418318357687,35.53188301639615,5,5
7,93,6.239118891529255,413.1887010636707,23.17396906176373,5,5
8,93,6.441986325679665,397.6530099716593,-71.66608701033527,5,5
9,93,7.850375740806031,374.60878788247044,-23.059608721653632,5,5
10,93,7.410541219591976,214.53966244186282,-148.78874518954578,5,5
11,93,14.107022397766015,245.48727898461883,-88.1865136685094,10,10
12,93,14.347629372780176,189.9514124881637,-90.17083541306795,10,10
13,93,12.721378487449872,171.03804463515957,-55.73902721169148,10,10
14,93,11.899921676036799,185.70569921108336,-2.3488248774661167,10,10
15,93,11.440870383780984,220.9088260597585,-73.3654551946307,10,10
16,93,5.992328298773787,180.16628336204192,-71.56940357339101,5,5
17,93,7.050511308429515,386.71826332767733,-175.01203752257908,5,5
18,93,4.54690382643009,379.1845612601816,54.79341992262346,0,<5
19,93,1.1288501581799588,119.1845386355543,-5.571484052278886,0,<5
20,93,1.6733758718479195,196.19594552503017,27.47284361825384,0,<5
21,93,2.279048123404035,275.9844962145012,64.0357073207662,0,<5
22,93,2.2657595889311533,241.12612611449057,-16.76390652933049,0,<5
23,93,3.8253742857321638,291.25876599081744,66.3942833490389,0,<5
