3m,14d,all,bias3,low,summer,cap,eve,applied,rolling,stat,beta,hours_name,hours,gate,th
6.428007017333787,11.232996364240668,6.486475134427927,-49.86151447554018,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,90,1,mean,0.1,h7890111718,"7-9,11,17,18",wmape,25
6.428007017333787,11.232996364240668,6.486475134427927,-49.86151447554018,49.86103386604627,35.497560176475254,1.558266052465585,2.991853148327597,90,1,median,0.1,h7890111718,"7-9,11,17,18",wmape,25
6.428061896540864,11.244424099962934,6.486529325176743,-49.018401312166674,50.29088115690414,35.937122208440854,1.558266052465585,2.991853148327597,64,3,mean,0.1,h7890111718,"7-9,11,17,18",absbias,700
6.428094494758303,11.241097384813456,6.486561514450371,-49.492645969371566,50.3553173390912,36.06238193545909,1.558266052465585,2.991853148327597,208,3,mean,0.1,h7890111718,"7-9,11,17,18",wmape,12
6.428251028945368,11.236494873897048,6.48671608492003,-49.57677368908733,49.98008768183133,35.68246557409835,1.558266052465585,2.991853148327597,113,1,mean,0.1,h7890111718,"7-9,11,17,18",wmape,20
6.428251028945368,11.236494873897048,6.48671608492003,-49.57677368908733,49.98008768183133,35.68246557409835,1.558266052465585,2.991853148327597,113,1,median,0.1,h7890111718,"7-9,11,17,18",wmape,20
6.428390585831754,11.240269780331987,6.486853891068818,-49.40437533382211,50.24278286481102,35.98712575198744,1.558266052465585,2.991853148327597,208,3,mean,0.08,h7890111718,"7-9,11,17,18",wmape,12
6.42839647955815,11.243171984811076,6.486859710858563,-49.024979608058196,50.22357678029543,35.89454471737458,1.558266052465585,2.991853148327597,64,3,mean,0.08,h7890111718,"7-9,11,17,18",absbias,700
6.4286386769188395,11.232372411393406,6.4870988698595085,-49.47283721614781,49.84841565437731,35.528855577793074,1.558266052465585,2.991853148327597,113,1,mean,0.08,h7890111718,"7-9,11,17,18",wmape,20
6.4286386769188395,11.232372411393406,6.4870988698595085,-49.47283721614781,49.84841565437731,35.528855577793074,1.558266052465585,2.991853148327597,113,1,median,0.08,h7890111718,"7-9,11,17,18",wmape,20
6.4287574939882175,11.2295736036683,6.487216196371764,-49.70062984531007,49.753172601749256,35.38093125969458,1.558266052465585,2.991853148327597,90,1,mean,0.08,h7890111718,"7-9,11,17,18",wmape,25
6.4287574939882175,11.2295736036683,6.487216196371764,-49.70062984531007,49.753172601749256,35.38093125969458,1.558266052465585,2.991853148327597,90,1,median,0.08,h7890111718,"7-9,11,17,18",wmape,25
6.428999749582758,11.242788241253502,6.487455412876016,-49.51551234447618,50.36312096505661,36.07394306676871,1.558266052465585,2.991853148327597,229,3,mean,0.1,h7890111718,"7-9,11,17,18",wmape,10
6.4290649883486015,11.241622465484024,6.487519833223196,-49.4226684339058,50.24902576558333,35.996374657035126,1.558266052465585,2.991853148327597,229,3,mean,0.08,h7890111718,"7-9,11,17,18",wmape,10
6.429243626959649,11.239287279478814,6.4876962308173995,-49.124584929742994,50.29088115690414,35.937122208440854,1.558266052465585,2.991853148327597,99,3,mean,0.1,h7890111718,"7-9,11,17,18",absbias,500
6.42931398192544,11.239062528423776,6.48776570318193,-49.10992650211925,50.22357678029543,35.89454471737458,1.558266052465585,2.991853148327597,99,3,mean,0.08,h7890111718,"7-9,11,17,18",absbias,500
6.429972078129258,11.271787910985303,6.488415543585563,-49.61274413984411,50.1328079772785,35.92768492721178,1.558266052465585,2.991853148327597,155,2,mean,0.1,h7890111718,"7-9,11,17,18",wmape,15
6.429972078129258,11.271787910985303,6.488415543585563,-49.61274413984411,50.1328079772785,35.92768492721178,1.558266052465585,2.991853148327597,155,2,median,0.1,h7890111718,"7-9,11,17,18",wmape,15
6.430115687204216,11.248395136281156,6.488557351088319,-49.00720266645084,50.22357678029543,35.89454471737458,1.558266052465585,2.991853148327597,60,3,mean,0.08,h78901117,"7-9,11,17",absbias,700
6.430193568823267,11.250953039300537,6.488634255684433,-48.99618013515748,50.29088115690414,35.937122208440854,1.558266052465585,2.991853148327597,60,3,mean,0.1,h78901117,"7-9,11,17",absbias,700
6.430608327830509,11.230242287334592,6.489043811550451,-48.76641280195567,49.87893222005917,35.38667222828175,1.558266052465585,2.991853148327597,119,1,mean,0.08,h7890111718,"7-9,11,17,18",absbias,700
6.430608327830509,11.230242287334592,6.489043811550451,-48.76641280195567,49.87893222005917,35.38667222828175,1.558266052465585,2.991853148327597,119,1,median,0.08,h7890111718,"7-9,11,17,18",absbias,700
6.430700936506304,11.248160884376752,6.489135258452759,-49.82371779057489,50.36475978726006,36.06238193545909,1.558266052465585,2.991853148327597,168,3,mean,0.1,h7890111718,"7-9,11,17,18",wmape,15
6.4307279284647025,11.264822201269467,6.489161911797721,-49.511041155119536,50.07075593723545,35.87936814538959,1.558266052465585,2.991853148327597,155,2,mean,0.08,h7890111718,"7-9,11,17,18",wmape,15
6.4307279284647025,11.264822201269467,6.489161911797721,-49.511041155119536,50.07075593723545,35.87936814538959,1.558266052465585,2.991853148327597,155,2,median,0.08,h7890111718,"7-9,11,17,18",wmape,15
6.430786714919483,11.243166396017129,6.489219960777919,-49.72330975343278,50.647228598342,36.25052239413824,1.558266052465585,2.991853148327597,208,3,mean,0.15,h7890111718,"7-9,11,17,18",wmape,12
6.43089452513079,11.247554387842591,6.489326418512858,-49.011942767625456,50.459142098425936,36.04356593610653,1.558266052465585,2.991853148327597,64,3,mean,0.15,h7890111718,"7-9,11,17,18",absbias,700
6.4311450203394775,11.238222938509532,6.489573771265509,-50.06538698227844,50.02959675906499,35.76236848811818,1.558266052465585,2.991853148327597,120,3,mean,0.1,h789017,"7-9,17",wmape,12
6.431180487213441,11.244873923729958,6.489608793208436,-49.31730301600929,50.24278286481102,35.98712575198744,1.558266052465585,2.991853148327597,200,3,mean,0.08,h78901117,"7-9,11,17",wmape,12
6.431237716893749,11.245920579982625,6.489665304943857,-49.6719157219334,50.25033682334611,35.98712575198744,1.558266052465585,2.991853148327597,168,3,mean,0.08,h7890111718,"7-9,11,17,18",wmape,15
