kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
daybias,midday,absbias,250,0.5,24,5.993657840853553,10.309559440084053,6.057073689798028,8,mean
daybias,midday,absbias,250,0.5,24,5.993657840853553,10.309559440084053,6.057073689798028,14,mean
daybias,midday,absbias,250,0.5,24,5.993657840853553,10.309559440084053,6.057073689798028,21,mean
daybias,midday,absbias,250,0.5,24,5.993657840853553,10.309559440084053,6.057073689798028,30,mean
hourbias,day,wmape,10,0.25,481,5.994859640281135,10.313722124233841,6.0582604126822766,21,median
hourbias,nooneve,wmape,10,0.05,709,5.995110891894752,10.305468198266322,6.058508512350776,3,mean
daybias,midday,absbias,250,0.4,24,5.995148547996538,10.309559440084053,6.058545696057718,8,mean
daybias,midday,absbias,250,0.4,24,5.995148547996538,10.309559440084053,6.058545696057718,14,mean
daybias,midday,absbias,250,0.4,24,5.995148547996538,10.309559440084053,6.058545696057718,21,mean
daybias,midday,absbias,250,0.4,24,5.995148547996538,10.309559440084053,6.058545696057718,30,mean
hourbias,day,wmape,10,0.3,481,5.995160393359851,10.314873391337152,6.05855739282125,21,median
hourbias,all,wmape,10,0.05,909,5.995236247518913,10.31147006558476,6.058632295391811,3,mean
hourbias,all,wmape,10,0.03,909,5.995317502058271,10.302223350606653,6.0587125305950345,3,mean
hourbias,day,wmape,10,0.25,452,5.995534392531758,10.309680748564176,6.058926700183031,55,median
hourbias,day,wmape,10,0.25,472,5.995588264401451,10.309438330881223,6.0589798962314845,34,median
hourbias,day,wmape,10,0.3,452,5.995903502974897,10.309705010260203,6.059291180145024,55,median
hourbias,day,wmape,10,0.3,472,5.995910796713999,10.309414109040658,6.059298382384353,34,median
hourbias,nooneve,wmape,10,0.03,709,5.995924333665067,10.30175644405906,6.0593117495147135,3,mean
daybias,peakerr,absbias,250,0.4,52,5.995934408579732,10.309559440084053,6.059321698039829,8,mean
daybias,peakerr,absbias,250,0.4,52,5.995934408579732,10.309559440084053,6.059321698039829,14,mean
daybias,peakerr,absbias,250,0.4,52,5.995934408579732,10.309559440084053,6.059321698039829,21,mean
daybias,peakerr,absbias,250,0.4,52,5.995934408579732,10.309559440084053,6.059321698039829,30,mean
hourbias,all,wmape,10,0.05,989,5.995953803056561,10.297712437812654,6.0593408492134415,5,mean
daybias,lowday,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,8,mean
daybias,10-16,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,8,mean
daybias,lowday,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,14,mean
daybias,10-16,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,14,mean
daybias,lowday,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,21,mean
daybias,10-16,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,21,mean
daybias,lowday,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,30,mean
daybias,10-16,absbias,250,0.5,28,5.996029849337757,10.309559440084053,6.059415941495966,30,mean
hourbias,day,wmape,10,0.2,481,5.996107696042567,10.312570857130527,6.05949281161584,21,median
daybias,midday,absbias,400,0.15,54,5.996131681853899,10.317795562652185,6.059516496525777,1,mean
hourbias,peakerr,wmape,45,-0.2,418,5.996151935485432,10.300541993802506,6.059536496076016,13,mean
daybias,peakerr,absbias,250,0.5,52,5.996218510080883,10.309559440084053,6.059602235494855,8,mean
