kind,wmape_3m,wmape_14d,wmape_all,bias_3m,low,summer_low,cap_spike,evening,applied,rolling,stat,beta,hours,gate,thr,group_by,delta_3m,delta_14d
group,6.314181405928614,11.095038466144496,6.374077462430589,-49.51320173616986,49.11653980883576,34.99970609014021,1.5675450167888805,2.9270707601678905,2097,8,median,0.1,all,none,0,"hour,source_bin",-0.014230837152635623,0.020422585119661107
group,6.31484906700319,11.062165927055242,6.374736747713921,-49.220962045342,48.98816364763718,34.49354337729216,1.5754778465569121,2.937799527258799,2088,8,median,0.1,all,none,0,"hour,source_ratio_bin",-0.013563176078059236,-0.012449953969593253
group,6.315095099728642,11.098058069874643,6.374979693965073,-47.95084759539445,48.99782487584919,34.81485953344308,1.5505500562664434,2.9446944417686596,385,2,mean,0.1,10-18,wmape,15,"hour,source_bin",-0.013317143352607808,0.023442188849807977
group,6.315095099728642,11.098058069874643,6.374979693965073,-47.95084759539445,48.99782487584919,34.81485953344308,1.5505500562664434,2.9446944417686596,385,2,median,0.1,10-18,wmape,15,"hour,source_bin",-0.013317143352607808,0.023442188849807977
group,6.315462038738624,11.102024197298196,6.375342029734482,-49.28539739977845,49.01385350947458,35.01281473527841,1.5654575909685327,2.939084540100451,2001,8,median,0.1,all,none,0,"hour,source_bin,weekend",-0.012950204342625504,0.02740831627336071
group,6.315580659557003,11.09554435935735,6.375459162457704,-49.65791798572186,49.214229452270715,35.07550709514093,1.5665014913666686,2.9277301028192753,862,8,median,0.1,all,absbias,100,"hour,source_bin",-0.01283158352424607,0.020928478332514544
group,6.315786362894069,11.063169804548249,6.375662285251623,-49.20788010789673,49.089952079936864,34.52326053590718,1.5750024226500268,2.9373457526583864,895,8,median,0.1,all,absbias,100,"hour,source_ratio_bin",-0.012625880187180805,-0.011446076476586242
group,6.316391783514813,11.142892265702011,6.376260110886037,-48.81154474187416,49.27682933331128,35.15207448236484,1.582044128532086,2.935286295570851,2097,8,mean,0.1,all,none,0,"hour,source_bin",-0.012020459566436159,0.06827638467717634
group,6.316447141744759,11.088391023065098,6.376314774648393,-47.22914187303451,49.25922472961016,34.77258702959707,1.5505500562664434,2.9446944417686596,309,3,median,0.2,10-16,wmape,20,"hour,source_bin",-0.011965101336490314,0.013775142040262978
group,6.316527440807648,11.088989369409031,6.376394066361575,-47.20831304372854,49.25922472961016,34.77258702959707,1.5505500562664434,2.9446944417686596,312,3,median,0.2,10-18,wmape,20,"hour,source_bin",-0.011884802273601558,0.014373488384196165
group,6.317069210080153,11.085952660482345,6.376929039152299,-48.444153076329464,48.8443327823891,34.6324908977091,1.5505500562664434,2.9446944417686596,363,3,median,0.1,10-18,wmape,15,"hour,source_bin",-0.011343033001096181,0.011336779457510104
