date,rows,wmape,mae,bias,mape_avg,min_pred,max_pred,sum_actual,sum_abs_error
2026-06-15,24,12.7671,766.6804,-471.9479,22.9192,112.45,15000.0,144122.78,18400.33
2026-06-17,24,17.0253,1339.2238,-1269.2446,35.6225,10.0,14930.88,188786.16,32141.37
