3m,14d,all,bias3,low,summer,cap,eve,applied,rolling,stat,beta,hours_name,hours,gate,th
6.3827018413702294,11.153708291969949,6.441738310747645,-51.27725174628462,49.758573976079276,35.23735250930207,1.5302202921997843,2.978832577309609,490,1,mean,0.05,all,all,wmape,20
6.3827018413702294,11.153708291969949,6.441738310747645,-51.27725174628462,49.758573976079276,35.23735250930207,1.5302202921997843,2.978832577309609,490,1,median,0.05,all,all,wmape,20
6.382931857664088,11.17941137216709,6.441965441492931,-50.30550744617846,49.6691438443754,35.272258339744575,1.5363640318098217,2.973636498791371,1338,1,mean,0.05,all,all,absbias,100
6.382931857664088,11.17941137216709,6.441965441492931,-50.30550744617846,49.6691438443754,35.272258339744575,1.5363640318098217,2.973636498791371,1338,1,median,0.05,all,all,absbias,100
6.3829527459929345,11.089271086843876,6.441986067778221,-50.71991367687851,49.13847355248963,34.39807033862571,1.555482991553572,2.9604727215870685,52,8,mean,-0.3,evening,19-23,absbias,300
6.383080836538101,11.126837491861634,6.44211255143075,-51.61751322058509,49.365884097551806,34.59760791200896,1.540586364303545,2.9806958130550414,62,3,mean,0.1,h789111718,"7-9,11,17,18",absbias,700
6.383093013138217,11.17128641878001,6.442124575275726,-50.32901955352662,49.74880161239103,35.26561051948034,1.5302202921997843,2.9754388487192336,700,1,mean,0.05,all,all,wmape,12
6.383093013138217,11.17128641878001,6.442124575275726,-50.32901955352662,49.74880161239103,35.26561051948034,1.5302202921997843,2.9754388487192336,700,1,median,0.05,all,all,wmape,12
6.383432647497093,11.120554635379785,6.442459948930185,-51.893424495348846,49.14231051379119,34.37113848951034,1.540586364303545,2.9806958130550414,117,1,mean,0.05,h789111718,"7-9,11,17,18",wmape,20
6.383432647497093,11.120554635379785,6.442459948930185,-51.893424495348846,49.14231051379119,34.37113848951034,1.540586364303545,2.9806958130550414,117,1,median,0.05,h789111718,"7-9,11,17,18",wmape,20
6.383672189857367,11.17732139772587,6.442696486237624,-50.31031236120648,49.65431162760582,35.236327885439024,1.5372080488482214,2.976067030829543,1149,1,mean,0.05,all,all,absbias,150
6.383672189857367,11.17732139772587,6.442696486237624,-50.31031236120648,49.65431162760582,35.236327885439024,1.5372080488482214,2.976067030829543,1149,1,median,0.05,all,all,absbias,150
6.383738631063225,11.1239186753158,6.442762093940241,-51.67895408992603,49.32040198853938,34.55770039733231,1.540586364303545,2.9806958130550414,62,3,mean,0.08,h789111718,"7-9,11,17,18",absbias,700
6.383766105202336,11.176061398332108,6.442789223416974,-50.321479721225465,49.68088172354582,35.21765402697517,1.5359204136275202,2.9770771057011434,891,1,mean,0.05,all,all,absbias,250
6.383766105202336,11.176061398332108,6.442789223416974,-50.321479721225465,49.68088172354582,35.21765402697517,1.5359204136275202,2.9770771057011434,891,1,median,0.05,all,all,absbias,250
6.3839969048767315,11.111287718294928,6.443017127715309,-52.19227527850137,49.13847355248963,34.39807033862571,1.540586364303545,2.9806958130550414,33,8,mean,-0.3,h78917,"7-9,17",wmape,40
6.38448969950066,11.179259003505718,6.443503740243179,-50.448131073865916,49.66913950847317,35.2546915622848,1.5325415464620462,2.978126305268697,776,1,mean,0.05,all,all,wmape,10
6.38448969950066,11.179259003505718,6.443503740243179,-50.448131073865916,49.66913950847317,35.2546915622848,1.5325415464620462,2.978126305268697,776,1,median,0.05,all,all,wmape,10
6.384491171945594,11.141270675340873,6.443505194216328,-49.91528162004294,49.74880161239103,35.26561051948034,1.540586364303545,2.9806958130550414,437,1,mean,0.05,day,10-18,wmape,12
6.384491171945594,11.141270675340873,6.443505194216328,-49.91528162004294,49.74880161239103,35.26561051948034,1.540586364303545,2.9806958130550414,437,1,median,0.05,day,10-18,wmape,12
6.38463348562303,11.135650618636415,6.44364572257229,-51.557900824885174,49.511996776757336,34.74538851854289,1.540586364303545,2.9806958130550414,62,3,mean,0.15,h789111718,"7-9,11,17,18",absbias,700
6.384737933313894,11.139552692098007,6.443748859969524,-54.1868127406439,49.13847355248963,34.39807033862571,1.549959346145954,2.9952601983431326,127,5,median,0.2,night,"0-6,23",absbias,300
6.384789586501613,11.119540450497052,6.4437998651693125,-51.77111539393744,49.25217882502073,34.497839125317334,1.540586364303545,2.9806958130550414,62,3,mean,0.05,h789111718,"7-9,11,17,18",absbias,700
6.384800846305113,11.129858002156594,6.4438109837188655,-53.64804870117527,49.13847355248963,34.39807033862571,1.5475847323845102,2.991118276596645,127,5,median,0.15,night,"0-6,23",absbias,300
6.384826720235173,11.091852767248312,6.443836533061127,-51.125185962511424,49.13847355248963,34.39807033862571,1.5514055723080402,2.9652095074731757,52,8,mean,-0.2,evening,19-23,absbias,300
6.384955802226999,11.17686368589565,6.443963995722639,-50.54066871152205,49.76542739825505,35.21765402697517,1.537702698468885,2.977308404023116,787,1,mean,0.05,all,all,absbias,300
6.384955802226999,11.17686368589565,6.443963995722639,-50.54066871152205,49.76542739825505,35.21765402697517,1.537702698468885,2.977308404023116,787,1,median,0.05,all,all,absbias,300
6.384984497904424,11.140925883750946,6.443992331413517,-49.93838642261676,49.66913950847317,35.2546915622848,1.540586364303545,2.9806958130550414,463,1,mean,0.05,day,10-18,wmape,10
6.384984497904424,11.140925883750946,6.443992331413517,-49.93838642261676,49.66913950847317,35.2546915622848,1.540586364303545,2.9806958130550414,463,1,median,0.05,day,10-18,wmape,10
6.385014140221356,11.133291490900277,6.4440216018683385,-51.60625031148206,49.365884097551806,34.59760791200896,1.540586364303545,2.9806958130550414,58,3,mean,0.1,h7891117,"7-9,11,17",absbias,700
6.385023417989963,11.164252864040618,6.4440307632475715,-50.66096000269241,49.837970036326915,35.20595766581291,1.533968412984108,2.974464646999861,349,1,mean,0.05,all,all,absbias,700
6.385023417989963,11.164252864040618,6.4440307632475715,-50.66096000269241,49.837970036326915,35.20595766581291,1.533968412984108,2.974464646999861,349,1,median,0.05,all,all,absbias,700
6.385047444615073,11.126990625721927,6.444054488459279,-51.92662945861679,49.13847355248963,34.39807033862571,1.540586364303545,2.9806958130550414,49,3,mean,0.1,h78917,"7-9,17",absbias,700
6.385070906920107,11.126792852160666,6.444077656430293,-52.10273061712576,49.13847355248963,34.39807033862571,1.540586364303545,2.976951595940925,420,1,mean,0.05,night,"0-6,23",absbias,150
6.385070906920107,11.126792852160666,6.444077656430293,-52.10273061712576,49.13847355248963,34.39807033862571,1.540586364303545,2.976951595940925,420,1,median,0.05,night,"0-6,23",absbias,150
6.385098705401704,11.127514538184057,6.444105106180642,-52.09192952341452,49.13847355248963,34.39807033862571,1.540586364303545,2.976678657705807,465,1,mean,0.05,night,"0-6,23",absbias,100
6.385098705401704,11.127514538184057,6.444105106180642,-52.09192952341452,49.13847355248963,34.39807033862571,1.540586364303545,2.976678657705807,465,1,median,0.05,night,"0-6,23",absbias,100
