i,j,first_kind,second_kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied1,applied2,first_rolling,first_stat,first_beta,first_hours,first_gate,first_thr,second_rolling,second_stat,second_beta,second_hours,second_gate,second_thr
4,51,hour,day,6.319238877899544,11.057307826624193,6.37907148854393,-51.18567786940031,21,20,34,median,-0.3,11-15,absbias,250,5,mean,1.0,19-23,wmape,12
5,51,hour,day,6.319238877899544,11.057307826624193,6.37907148854393,-51.18567786940031,21,20,55,median,-0.3,11-15,absbias,250,5,mean,1.0,19-23,wmape,12
51,3,day,hour,6.319238877899544,11.057307826624193,6.37907148854393,-51.18567786940031,20,21,5,mean,1.0,19-23,wmape,12,21,median,-0.3,11-15,absbias,250
51,4,day,hour,6.319238877899544,11.057307826624193,6.37907148854393,-51.18567786940031,20,21,5,mean,1.0,19-23,wmape,12,34,median,-0.3,11-15,absbias,250
51,5,day,hour,6.319238877899544,11.057307826624193,6.37907148854393,-51.18567786940031,20,21,5,mean,1.0,19-23,wmape,12,55,median,-0.3,11-15,absbias,250
6,45,hour,day,6.319243271545987,11.04935911776298,6.379075827072191,-51.41911218982095,460,20,5,median,-0.2,11-15,none,0,5,mean,0.5,19-23,wmape,12
17,31,hour,day,6.319260727886561,11.036621390001311,6.379093064423413,-52.27371704577708,460,20,21,median,-0.3,11-15,none,0,5,mean,0.8,19-23,wmape,12
31,17,day,hour,6.319282189862609,11.036781313348353,6.379114257159515,-52.27542301451657,20,460,5,mean,0.8,19-23,wmape,12,21,median,-0.3,11-15,none,0
21,23,hour,hour,6.31928842940784,11.033051254212998,6.379120418429811,-50.73229625785163,67,323,21,median,-0.3,11-15,absbias,100,2,mean,-0.1,7-18,wmape,35
21,24,hour,hour,6.31928842940784,11.033051254212998,6.379120418429811,-50.73229625785163,67,323,21,median,-0.3,11-15,absbias,100,2,median,-0.1,7-18,wmape,35
23,8,hour,hour,6.319322702910234,11.038066290720705,6.379154261971985,-50.06894503407717,325,26,2,mean,-0.1,7-18,wmape,35,13,median,-0.3,11-15,absbias,250
24,8,hour,hour,6.319322702910234,11.038066290720705,6.379154261971987,-50.06894503407717,325,26,2,median,-0.1,7-18,wmape,35,13,median,-0.3,11-15,absbias,250
31,18,day,hour,6.319325738661523,11.056494010944585,6.379157259639853,-52.194161853848485,20,139,5,mean,0.8,19-23,wmape,12,5,median,-0.3,11-15,absbias,100
19,31,hour,day,6.319342817211066,11.036876725859196,6.379174123939424,-51.61743624355816,350,20,13,median,-0.3,11-15,wmape,15,5,mean,0.8,19-23,wmape,12
23,10,hour,hour,6.3193581880483976,11.036917134596855,6.379189301949993,-50.82121130873022,325,144,2,mean,-0.1,7-18,wmape,35,5,median,-0.2,11-15,absbias,100
24,10,hour,hour,6.3193581880483976,11.036917134596855,6.379189301949993,-50.82121130873022,325,144,2,median,-0.1,7-18,wmape,35,5,median,-0.2,11-15,absbias,100
31,19,day,hour,6.319363569093839,11.037031357964986,6.379194615490355,-51.61877603241385,20,350,5,mean,0.8,19-23,wmape,12,13,median,-0.3,11-15,wmape,15
6,14,hour,hour,6.319374547763622,11.074553426977753,6.379205456433006,-50.832996611350396,460,17,5,median,-0.2,11-15,none,0,55,median,-0.2,11-15,absbias,250
6,15,hour,hour,6.319374547763622,11.074553426977753,6.379205456433006,-50.832996611350396,460,17,5,median,-0.2,11-15,none,0,21,median,-0.2,11-15,absbias,250
6,16,hour,hour,6.319374547763622,11.074553426977753,6.379205456433006,-50.832996611350396,460,17,5,median,-0.2,11-15,none,0,34,median,-0.2,11-15,absbias,250
23,11,hour,hour,6.319380483386221,11.038831655193755,6.379211317593368,-50.22632777532685,325,26,2,mean,-0.1,7-18,wmape,35,13,median,-0.5,11-15,absbias,250
24,11,hour,hour,6.319380483386221,11.038831655193755,6.379211317593368,-50.22632777532685,325,26,2,median,-0.1,7-18,wmape,35,13,median,-0.5,11-15,absbias,250
20,31,hour,day,6.319389566504421,11.042732093873457,6.379220286764081,-51.43975416306099,80,20,13,median,-0.2,11-15,absbias,100,5,mean,0.8,19-23,wmape,12
31,20,day,hour,6.319396224428273,11.042781705217,6.379226861164448,-51.43914874809359,20,80,5,mean,0.8,19-23,wmape,12,13,median,-0.2,11-15,absbias,100
18,31,hour,day,6.319424442896415,11.057229502941041,6.379254725632622,-52.20442488883584,139,20,5,median,-0.3,11-15,absbias,100,5,mean,0.8,19-23,wmape,12
13,23,hour,hour,6.319431110534089,11.027710198673354,6.379261309624952,-51.36635770252839,460,321,13,median,-0.3,11-15,none,0,2,mean,-0.1,7-18,wmape,35
13,24,hour,hour,6.319431110534089,11.027710198673354,6.379261309624952,-51.36635770252839,460,321,13,median,-0.3,11-15,none,0,2,median,-0.1,7-18,wmape,35
11,55,hour,hour,6.319469356584127,11.065348253515552,6.379299075879261,-50.670912693212834,26,307,13,median,-0.5,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
11,56,hour,hour,6.319469356584127,11.065348253515552,6.379299075879261,-50.670912693212834,26,307,13,median,-0.5,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
3,53,hour,day,6.3194950076300955,11.059216370539067,6.3793244051335085,-50.31137441677482,21,20,21,median,-0.3,11-15,absbias,250,5,mean,0.3,19-23,wmape,12
4,53,hour,day,6.3194950076300955,11.059216370539067,6.3793244051335085,-50.31137441677482,21,20,34,median,-0.3,11-15,absbias,250,5,mean,0.3,19-23,wmape,12
5,53,hour,day,6.3194950076300955,11.059216370539067,6.3793244051335085,-50.31137441677482,21,20,55,median,-0.3,11-15,absbias,250,5,mean,0.3,19-23,wmape,12
53,3,day,hour,6.3194950076300955,11.059216370539067,6.3793244051335085,-50.31137441677482,20,21,5,mean,0.3,19-23,wmape,12,21,median,-0.3,11-15,absbias,250
53,4,day,hour,6.3194950076300955,11.059216370539067,6.3793244051335085,-50.31137441677482,20,21,5,mean,0.3,19-23,wmape,12,34,median,-0.3,11-15,absbias,250
53,5,day,hour,6.3194950076300955,11.059216370539067,6.3793244051335085,-50.31137441677482,20,21,5,mean,0.3,19-23,wmape,12,55,median,-0.3,11-15,absbias,250
7,45,hour,day,6.319495217496911,11.048109897126619,6.37932461236755,-51.395263260063714,80,20,13,median,-0.3,11-15,absbias,100,5,mean,0.5,19-23,wmape,12
45,7,day,hour,6.319511443054432,11.048230801439477,6.379340634375865,-51.39462202586465,20,80,5,mean,0.5,19-23,wmape,12,13,median,-0.3,11-15,absbias,100
8,45,hour,day,6.319511563311727,11.054282783004867,6.379340753124535,-50.64527906390953,26,20,13,median,-0.3,11-15,absbias,250,5,mean,0.5,19-23,wmape,12
19,23,hour,hour,6.319516770707279,11.027944993030864,6.37934589519344,-50.60980263724609,350,322,13,median,-0.3,11-15,wmape,15,2,mean,-0.1,7-18,wmape,35
19,24,hour,hour,6.319516770707279,11.027944993030864,6.37934589519344,-50.60980263724609,350,322,13,median,-0.3,11-15,wmape,15,2,median,-0.1,7-18,wmape,35
8,55,hour,hour,6.319518029519491,11.064588112031014,6.379347138213885,-50.51894739894014,26,309,13,median,-0.3,11-15,absbias,250,2,mean,-0.1,10-18,wmape,35
8,56,hour,hour,6.319518029519491,11.064588112031014,6.379347138213885,-50.51894739894014,26,309,13,median,-0.3,11-15,absbias,250,2,median,-0.1,10-18,wmape,35
21,31,hour,day,6.319522908425148,11.043513198134761,6.379351955913794,-51.69159383578376,67,20,21,median,-0.3,11-15,absbias,100,5,mean,0.8,19-23,wmape,12
31,21,day,hour,6.319522908425148,11.043513198134761,6.379351955913794,-51.69159383578376,20,67,5,mean,0.8,19-23,wmape,12,21,median,-0.3,11-15,absbias,100
45,8,day,hour,6.319525409812275,11.054385959837578,6.379354425921084,-50.64605483149073,20,26,5,mean,0.5,19-23,wmape,12,13,median,-0.3,11-15,absbias,250
17,23,hour,hour,6.319530431703542,11.026461113932426,6.379359384812854,-51.34228563144135,460,325,21,median,-0.3,11-15,none,0,2,mean,-0.1,7-18,wmape,35
17,24,hour,hour,6.319530431703542,11.026461113932426,6.379359384812854,-51.34228563144135,460,325,21,median,-0.3,11-15,none,0,2,median,-0.1,7-18,wmape,35
3,6,hour,hour,6.319538178588729,11.074553426977753,6.379367034513561,-51.00797387691784,21,460,21,median,-0.3,11-15,absbias,250,5,median,-0.2,11-15,none,0
4,6,hour,hour,6.319538178588729,11.074553426977753,6.379367034513561,-51.00797387691784,21,460,34,median,-0.3,11-15,absbias,250,5,median,-0.2,11-15,none,0
