date,cur,lag24,lag48,lag24_adv,lag48_adv
2026-03-16,10.768209417437307,47.82818975409063,30.82474547723072,-37.059980336653325,-20.056536059793416
2026-03-17,5.851895682411618,36.72940175316312,51.29984928139124,-30.8775060707515,-45.44795359897962
2026-03-18,6.111712371898545,47.208182234874194,26.148555729741524,-41.09646986297565,-20.03684335784298
2026-03-19,5.73738855204052,22.925421243050494,21.20206184398356,-17.188032691009973,-15.46467329194304
2026-03-20,4.512777701876647,20.426547524500542,24.277489378599903,-15.913769822623895,-19.764711676723255
2026-03-21,5.473944125022521,19.63087160471024,24.98436741591296,-14.15692747968772,-19.51042329089044
2026-03-22,5.641072098260763,20.146698914965118,27.911649031095862,-14.505626816704353,-22.270576932835098
2026-03-23,9.674141593035133,33.33633780693269,31.343065405663843,-23.66219621389756,-21.668923812628712
2026-03-24,3.2005559846306237,34.51261331893967,23.78658048118218,-31.312057334309046,-20.58602449655156
2026-03-25,8.658232728450974,29.915053037097728,62.401671703414976,-21.256820308646752,-53.743438974964
2026-03-26,5.786016919955377,26.424628526503458,12.652823692295717,-20.638611606548082,-6.8668067723403405
2026-03-27,6.521726738864582,29.053991811048054,22.308445674861275,-22.53226507218347,-15.786718935996692
2026-03-28,4.038918841678566,26.296912511192133,35.44510180457802,-22.257993669513567,-31.406182962899457
2026-03-29,4.859629797413359,14.178477873266445,24.776231143601272,-9.318848075853086,-19.916601346187914
2026-03-30,9.24930737710521,48.796307578185406,52.2487791201827,-39.547000201080195,-42.999471743077486
2026-03-31,16.68619705031547,21.356140976983944,37.818354410037266,-4.6699439266684735,-21.132157359721795
2026-04-01,2.576458428118179,33.94700902034846,29.990538830564635,-31.37055059223028,-27.414080402446455
2026-04-02,4.385101488728508,31.67694765287098,63.612856518401664,-27.29184616414247,-59.227755029673155
2026-04-03,4.5068679253182085,18.070070763273176,25.368480552289043,-13.563202837954968,-20.861612626970835
2026-04-04,5.594510587917041,57.62557701202143,56.99484795741287,-52.03106642410439,-51.40033736949583
2026-04-05,8.71921986856176,43.38861753774081,123.54283201927126,-34.66939766917905,-114.8236121507095
2026-04-06,7.347437336380033,20.778793888935642,28.95054014097815,-13.43135655255561,-21.603102804598116
2026-04-07,4.1280991397289215,55.32468936568938,61.597321679149175,-51.196590225960456,-57.46922253942025
2026-04-08,7.969023580135537,62.085424751330635,34.669504246174164,-54.1164011711951,-26.700480666038626
2026-04-09,5.3978149347520885,24.016741801089626,28.040235017626326,-18.61892686633754,-22.64242008287424
2026-04-10,5.845476408345088,31.12356682141631,46.66483323732834,-25.278090413071222,-40.81935682898325
2026-04-11,5.366490900548756,26.93195742313061,18.003994246051143,-21.56546652258185,-12.637503345502386
2026-04-12,5.1015403017400685,69.14038411808001,108.05443247598019,-64.03884381633993,-102.95289217424012
2026-04-13,1.2870537757010885,24.379940735426228,29.38965934187373,-23.09288695972514,-28.10260556617264
2026-04-14,2.364569216239071,17.967758524855373,37.89812926158456,-15.603189308616303,-35.53356004534549
2026-04-15,3.713943970598495,23.07216917972445,36.46098956235317,-19.358225209125955,-32.74704559175468
2026-04-16,1.7953685194971956,15.441459289064458,23.313362684138976,-13.646090769567262,-21.51799416464178
2026-04-17,2.586776973895475,25.203190693177614,15.538547033715789,-22.61641371928214,-12.951770059820314
2026-04-18,2.986226576249906,19.878197574167363,36.90924366298189,-16.891970997917458,-33.92301708673199
2026-04-19,3.4306384149457356,18.115085725009422,40.007926493558855,-14.684447310063685,-36.57728807861312
2026-04-20,3.5194358328003696,37.186795001944624,27.06075323019941,-33.667359169144255,-23.54131739739904
2026-04-21,1.4083369968753419,17.333372778579964,32.81308090664723,-15.925035781704622,-31.404743909771888
2026-04-22,1.3076729579185533,8.205855666537168,16.76059445563869,-6.898182708618615,-15.452921497720135
2026-04-23,2.0503365926687076,14.594234553540716,15.45045245046382,-12.543897960872009,-13.400115857795111
2026-04-24,1.901863729346018,8.068859954921846,6.67886684299467,-6.166996225575828,-4.777003113648652
2026-04-25,1.5381511930859122,10.510057139389541,13.39008906935579,-8.971905946303629,-11.851937876269877
2026-04-26,4.4048047966775,34.096986136750296,45.27257905781225,-29.692181340072796,-40.86777426113475
2026-04-27,0.9594588841490248,28.40808651505403,6.364415490327732,-27.448627630905005,-5.4049566061787075
2026-04-28,1.6603816204968331,5.9192494177548065,30.63213990811092,-4.258867797257974,-28.971758287614087
2026-04-29,6.060500648729749,8.852844850175577,11.151043122679656,-2.792344201445828,-5.090542473949907
2026-04-30,3.290806832328435,9.682238321859039,10.258461482626311,-6.3914314895306035,-6.967654650297876
2026-05-01,9.271275223682874,72.28535653819405,78.00710389608722,-63.014081314511174,-68.73582867240434
2026-05-02,9.823240068415037,28.253917137191653,59.168881032720435,-18.430677068776617,-49.345640964305396
2026-05-03,5.9578147727697015,32.925801061657246,41.6598416146461,-26.967986288887545,-35.702026841876396
