candidate,group_by,rolling,stat,thr,hours,distop,distthr,alpha,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
f_price_lag_48,hour_low,3,median,-100,coremid,ge_rel,0.1,-0.3,11,6.1249312608918824,10.664443448410681,6.187201455662922,-38.35878575355662,-0.03256865309169665,0.0,-0.03216008016478078
f_price_lag_48,hour_low,3,mean,-100,coremid,ge_abs,500.0,-0.3,18,6.125145032135505,10.642473264506492,6.187412545151714,-39.302172341568145,-0.032354881848074335,-0.021970183904189255,-0.03194899067598822
f_price_lag_48,hour_low,3,median,-100,coremid,ge_abs,500.0,-0.3,29,6.126550160312491,10.652995011237318,6.188800046031363,-37.64195650245907,-0.030949753671087876,-0.011448437173363857,-0.030561489796339103
f_price_lag_48,hour_low,3,mean,-100,coremid,none,0.0,-0.3,81,6.127248227674129,10.638495407610089,6.189489356155656,-39.410908723894764,-0.030251686309449966,-0.025948040800592764,-0.02987217967204625
f_price_lag_48,hour_low,3,median,-500,coremid,ge_rel,0.1,-0.3,28,6.128176640788302,10.664443448410681,6.190406122350862,-37.14294178425852,-0.029323273195276833,0.0,-0.028955413476840164
f_price_lag_48,hour_low,3,median,-100,coremid,ge_abs,1000.0,-0.3,8,6.128304452628801,10.664443448410681,6.1905323307950635,-38.54777305657666,-0.02919546135477802,0.0,-0.02882920503263886
f_price_lag_48,hour_low,3,median,-500,coremid,ge_abs,1000.0,-0.3,16,6.128419586658683,10.664443448410681,6.19064602047146,-37.677538695807,-0.029080327324896516,0.0,-0.02871551535624217
f_price_lag_48,hour_low,3,median,-250,coremid,ge_rel,0.1,-0.3,17,6.128651206014226,10.664443448410681,6.190874734168062,-38.571075059719966,-0.02884870796935335,0.0,-0.028486801659640015
f_price_lag_48,hour_low,3,median,-100,coremid,ge_rel,0.05,-0.3,20,6.129101277350417,10.664443448410681,6.191319159370758,-38.03519114127584,-0.028398636633162333,0.0,-0.028042376456943963
f_price_lag_48,hour_low,3,mean,-100,coremid,ge_rel,0.1,-0.3,7,6.129133310248097,10.664443448410681,6.19135079041655,-39.705598976885405,-0.028366603735482165,0.0,-0.02801074541115245
f_price_lag_48,hour_low,3,mean,-100,day,ge_abs,500.0,-0.3,23,6.129998964406728,10.645948982634993,6.19220558496572,-39.522619428858086,-0.027500949576850786,-0.018494465775688695,-0.027155950861982525
f_price_lag_48,hour_low,3,median,-100,day,ge_abs,500.0,-0.3,38,6.1300642804208705,10.62480319823371,6.192270081592122,-38.35561454715917,-0.027435633562708617,-0.03964025017697104,-0.027091454235580237
f_price_lag_48,hour_low,3,median,-500,day,ge_rel,0.05,-0.1,66,6.130181862730389,10.649893631864813,6.192386188834549,-40.24383156598429,-0.027318051253190312,-0.014549816545867955,-0.026975346993153515
f_price_lag_48,hour_low,3,median,-100,coremid,ge_abs,500.0,-0.2,29,6.130232853918154,10.656912302388042,6.192436540339156,-39.153655223813374,-0.027267060065424786,-0.00753114602263949,-0.02692499548854599
f_price_lag_48,hour_low,3,mean,-100,coremid,ge_rel,0.05,-0.3,12,6.130380852333371,10.664443448410681,6.192582682118007,-39.69755795658275,-0.027119061650208387,0.0,-0.026778853709695127
f_price_lag_48,hour_low,3,mean,-100,coremid,ge_abs,500.0,-0.2,18,6.130398128130886,10.649796659141222,6.192599741191081,-40.2460097200379,-0.027101785852693183,-0.014646789269459504,-0.026761794636620984
f_price_lag_48,hour_low,3,median,-100,day,ge_abs,500.0,-0.2,38,6.130500107002466,10.633004931692627,6.192700440740305,-39.63785440731177,-0.02699980698111304,-0.03143851671805464,-0.026661095087397335
f_price_lag_48,hour_low,3,median,-250,coremid,ge_abs,1000.0,-0.3,10,6.130532233466772,10.664443448410681,6.19273216417893,-38.87565236402745,-0.026967680516807313,0.0,-0.026629371648771993
f_price_lag_48,hour_low,3,mean,-100,midday,ge_abs,500.0,-0.3,21,6.130868086971648,10.642473264506492,6.193063804410107,-39.589252994425244,-0.02663182701193101,-0.021970183904189255,-0.026297731417595394
f_price_lag_48,hour_low,3,mean,-100,coremid,ge_abs,1000.0,-0.3,5,6.130924073527692,10.664443448410681,6.193119088616225,-39.80592873841482,-0.026575840455887345,0.0,-0.026242447211477504
f_price_lag_48,hour_low,3,median,-100,coremid,ge_rel,0.1,-0.2,11,6.131264496895341,10.664443448410681,6.193455241381362,-39.60547298458674,-0.0262354170882384,0.0,-0.025906294446340183
f_price_lag_48,hour_low,3,median,-500,day,ge_abs,500.0,-0.1,81,6.131369916651855,10.664868269437887,6.193559338649707,-40.04842809211951,-0.026129997331723942,0.00042482102720597936,-0.025802197177995367
f_price_lag_48,hour_low,3,median,-100,coremid,none,0.0,-0.3,109,6.131562599018448,10.657966874168308,6.193749603820896,-37.66141824453544,-0.025937314965131186,-0.0064765742423738,-0.025611932006806448
f_price_lag_48,hour_low,3,median,-100,day,ge_rel,0.1,-0.3,14,6.131603139267063,10.632775917278577,6.193789635493122,-39.29345431722008,-0.02589677471651619,-0.03166753113210419,-0.025571900334580455
f_price_lag_48,hour_low,3,mean,-100,coremid,none,0.0,-0.2,81,6.131722759697997,10.64714475454362,6.193907755288782,-40.325912792703434,-0.02577715428558225,-0.017298693867061843,-0.025453780538920334
f_price_lag_48,hour_low,3,mean,-250,coremid,ge_rel,0.1,-0.3,13,6.13201528085855,10.664443448410681,6.194196606778797,-39.739575107736115,-0.025484633125029355,0.0,-0.02516492904890555
f_price_lag_48,hour_low,3,median,-100,coremid,ge_rel,0.05,-0.2,20,6.132290853833404,10.664443448410681,6.194468722697671,-39.4132523909744,-0.025209060150174878,0.0,-0.02489281313003122
f_price_lag_48,hour_low,3,mean,-100,day,none,0.0,-0.3,87,6.132293222443133,10.643394822888904,6.194471061593252,-39.642060327553715,-0.02520669154044608,-0.021048625521776998,-0.02489047423445001
f_price_lag_48,hour_low,3,mean,-100,day,ge_abs,500.0,-0.2,23,6.132551262223274,10.64700097586721,6.194725864270895,-40.393124256005954,-0.024948651760305474,-0.017442472543471865,-0.02463567155680746
f_price_lag_48,hour_low,3,median,-100,day,ge_rel,0.05,-0.2,29,6.132558106917717,10.640536077715264,6.1947326230988216,-39.8974515744728,-0.024941807065862243,-0.02390737069541693,-0.024628912728880792
f_price_lag_48,hour_low,3,median,-100,day,ge_rel,0.05,-0.3,29,6.132615397458797,10.636251635407074,6.194789194931516,-38.748849185975935,-0.024884516524782185,-0.02819181300360718,-0.024572340896185985
f_price_lag_48,hour_low,3,mean,-250,coremid,ge_abs,1000.0,-0.3,6,6.1328174163700435,10.664443448410681,6.1949886795206455,-40.152545354547975,-0.02468249761353558,0.0,-0.024372856307056878
f_price_lag_48,hour_low,3,mean,-100,midday,none,0.0,-0.3,84,6.132971282510273,10.638495407610089,6.195140615414049,-39.69798937675188,-0.02452863147330575,-0.025948040800592764,-0.024220920413653424
f_price_lag_48,hour_low,3,median,-500,day,ge_abs,1000.0,-0.1,28,6.132991987109338,10.650341620616997,6.195161060274444,-40.47865230691286,-0.024507926874241193,-0.014101827793684407,-0.02420047555325855
f_price_lag_48,hour_low,3,median,-500,coremid,ge_rel,0.1,-0.2,28,6.13299728282221,10.664443448410681,6.195166289552731,-39.033600465319886,-0.024502631161369415,0.0,-0.024195246274971716
f_price_lag_48,hour_low,3,median,-100,day,none,0.0,-0.2,120,6.1334082589912065,10.63366488904952,6.195572110036114,-39.63829710544242,-0.024091654992372646,-0.030778559361161584,-0.023789425791588492
f_price_lag_48,hour_low,3,median,-100,coremid,none,0.0,-0.2,109,6.1334972599966955,10.660226877675367,6.195659994526245,-39.17405750469897,-0.024002653986883615,-0.004216570735314562,-0.023701541301456963
f_price_lag_48,hour_low,3,median,-100,coremid,ge_abs,1000.0,-0.2,8,6.1335132913866195,10.664443448410681,6.19567582480279,-39.73146451993343,-0.023986622596959606,0.0,-0.023685711024912237
f_rolling_mean_hour_7d,hour_summer_sr,5,median,250,all,ge_abs,1000.0,0.3,8,6.133800520681185,10.644311853624394,6.195959450813141,-42.6129553886717,-0.0236993933023939,-0.02013159478628701,-0.023402085014561536
f_price_lag_48,hour_low,3,median,-500,coremid,ge_abs,1000.0,-0.2,16,6.133815424119079,10.664443448410681,6.195974167287784,-39.379374647388794,-0.023684489864500335,0.0,-0.023387368539918185
f_price_lag_48,hour_low,3,mean,-100,midday,ge_abs,500.0,-0.2,21,6.133816827281384,10.649796659141222,6.195975552847453,-40.43754663305072,-0.023683086702194878,-0.014646789269459504,-0.02338598298024941
f_price_lag_48,hour_low,3,median,-500,day,ge_rel,0.1,-0.1,38,6.133846104817385,10.65661302201951,6.196004463097509,-40.4343811323154,-0.023653809166193973,-0.007830426391171486,-0.023357072730193273
f_price_lag_48,hour_low,3,mean,-250,coremid,ge_rel,0.05,-0.3,23,6.133901494834171,10.679963464324143,6.196059158247938,-39.49319898262457,-0.0235984191494083,0.015520015913461194,-0.023302377579764055
f_price_lag_48,hour_low,3,median,-250,coremid,ge_rel,0.1,-0.2,17,6.133921489994087,10.664443448410681,6.196078902569081,-39.85657402186043,-0.02357842398949206,0.0,-0.023282633258621566
f_price_lag_48,hour_low,3,median,-500,day,none,0.0,-0.1,204,6.1340016561826625,10.670433895554957,6.196158063074853,-40.07701255572329,-0.023498257800916633,0.00599044714427599,-0.023203472752848953
