3m,14d,all,bias3,low,summer,cap,eve,low_bias,applied,group_by,sb_name,rb_name,rolling,stat,beta,hours,gate,th,source_bins,ratio_bins
6.453502272809926,11.260517867630778,6.511650552570818,-47.19792345830996,51.54072589802643,36.64874704230841,1.558266052465585,2.9877080205729323,1.1012083592105517,280,"hour,source_ratio_bin,summer",wide,fine,21,mean,-0.1,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453532648547751,11.242599145398735,6.511680547245782,-47.17923634104918,51.50863595891544,36.7172700890578,1.558266052465585,2.9877080205729323,2.541049215702301,227,"hour,source_ratio_bin,summer",wide,fine,5,mean,-0.1,all,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453544482875789,11.264604566378342,6.511692233112476,-47.134481579890036,51.525235045089424,36.65005456256363,1.558266052465585,2.9894816925930265,2.26745707792141,273,"hour,source_ratio_bin,summer",wide,fine,5,mean,-0.08,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453555635217395,11.260517867630778,6.5117032455482375,-47.202865141239876,51.549225492199355,36.64874704230841,1.558266052465585,2.9877080205729323,1.066108109717942,280,"hour,source_ratio_bin,summer",wide,fine,13,mean,-0.1,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453572025321589,11.261250819735908,6.511719430038991,-47.189235715722724,51.536168743310164,36.64874704230841,1.558266052465585,2.9877080205729323,1.123772909602843,274,"hour,source_ratio_bin,summer",wide,fine,8,mean,-0.1,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453718783391155,11.242599145398735,6.511864347032296,-47.18235466914588,51.515818722836336,36.7172700890578,1.558266052465585,2.9877080205729323,2.536761027538523,233,"hour,source_ratio_bin,summer",wide,fine,8,mean,-0.1,all,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.4537557316947725,11.270857094949754,6.511900831820383,-47.22633599275083,51.58525116624519,36.75355320766849,1.558266052465585,2.9877080205729323,1.2745308519129404,280,"hour,source_ratio_bin,summer",wide,fine,3,mean,-0.1,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453757994740611,11.242599145398735,6.511903066476369,-47.18612538541541,51.52206432855665,36.7172700890578,1.558266052465585,2.9877080205729323,2.509978029984243,241,"hour,source_ratio_bin,summer",wide,fine,21,mean,-0.1,all,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453806862668995,11.242599145398735,6.511951321357831,-47.18755865301817,51.52984803958187,36.7172700890578,1.558266052465585,2.9877080205729323,2.4997976822848873,236,"hour,source_ratio_bin,summer",wide,fine,13,mean,-0.1,all,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453809417031378,11.35159244807555,6.511953843675802,-44.04320308846353,52.870357091673526,38.341568569768356,1.558266052465585,2.996576380673402,15.124062697034963,390,"hour,source_bin",wide,default,3,median,0.2,day,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.453832530832919,11.350277778716206,6.511976667515289,-45.19235470207939,52.45243489001946,37.882573726770595,1.558266052465585,2.996576380673402,12.634620428510278,295,"hour,source_bin",wide,default,3,median,0.15,lowday,wmape,20,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.453885412680725,11.272487723993219,6.512028885961657,-47.03336971841686,52.10678578078102,37.22220314203247,1.5560607232083168,2.9850127850138244,4.52607441183795,163,"hour,source_ratio_bin,summer",wide,fine,21,mean,-0.1,peakerr,absbias,500,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.453971994574389,11.333921922730791,6.512114381687661,-45.45788758435865,52.60819457466573,37.36323319414146,1.558266052465585,2.996576380673402,10.207552070494703,48,"hour,source_bin",wide,default,3,median,0.2,lowday,absbias,500,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.4540196394763525,11.242995649387934,6.512161428885537,-47.208153216806075,51.47689974653902,36.64874704230841,1.558266052465585,2.9877080205729323,1.7289014859426644,246,"hour,source_ratio_bin,summer",wide,fine,5,mean,-0.1,all,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.4541540818177365,11.346833052962078,6.51229418465116,-44.75757519122258,52.537701979276854,38.08616165428984,1.558266052465585,2.996576380673402,13.106076322906667,390,"hour,source_bin",wide,default,3,median,0.15,day,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.454226245499196,11.24294613527969,6.512365443041065,-47.29588427452181,51.48840157076533,36.64874704230841,1.558266052465585,2.9877080205729323,1.7286135001345824,249,"hour,source_ratio_bin,summer",wide,fine,8,mean,-0.1,all,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.4542548563648365,11.24294613527969,6.512393694984121,-47.299061085373786,51.49295872548161,36.64874704230841,1.558266052465585,2.9877080205729323,1.706048949742291,256,"hour,source_ratio_bin,summer",wide,fine,21,mean,-0.1,all,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.454279488642177,11.352261049680552,6.512418018250167,-45.36688115345826,52.494633581158986,37.81890892656135,1.558266052465585,2.996576380673402,13.409341424707517,249,"hour,source_bin",wide,default,3,median,0.2,lowday,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.454300499291175,11.24294613527969,6.512438765321106,-47.301245845970115,51.50022875637291,36.64874704230841,1.558266052465585,2.9877080205729323,1.690530827050017,252,"hour,source_ratio_bin,summer",wide,fine,13,mean,-0.1,all,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.454389943749877,11.345629562040287,6.5125270877013435,-45.256219511920335,52.57991834986279,37.60890110791977,1.558266052465585,2.996576380673402,14.026238236634024,235,"hour,source_bin",wide,default,3,median,0.2,midday,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.4544344427521745,11.270501743608257,6.512571028464786,-47.01723965556776,51.626811020774156,36.824376354644265,1.558266052465585,2.9877080205729323,2.0895765790863363,255,"hour,source_ratio_bin,summer",wide,fine,8,median,-0.1,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.454452277655004,11.270501743608257,6.51258863962921,-47.015808396111375,51.629651774093745,36.824376354644265,1.558266052465585,2.9877080205729323,2.099742663135093,269,"hour,source_ratio_bin,summer",wide,fine,21,median,-0.1,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.454453476969093,11.270501743608257,6.512589823897935,-47.01538937691561,51.629842801513924,36.824376354644265,1.558266052465585,2.9877080205729323,2.102718912020803,258,"hour,source_ratio_bin,summer",wide,fine,13,median,-0.1,all,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
