datetime,hour,actual,old_tree_pred,new_hybrid_pred,old_tree_abs_error,new_hybrid_abs_error,error_delta_new_minus_old,price_cap
2026-06-15 00:00:00,1,5600.0,7622.019854272038,7817.872626220258,2022.0198542720382,2217.872626220258,195.85277194821992,15000.0
2026-06-15 01:00:00,2,6500.0,5632.490694001586,5903.544309222944,867.5093059984138,596.4556907770557,-271.0536152213581,15000.0
2026-06-15 02:00:00,3,5500.0,4786.404648385676,4964.277191311055,713.5953516143236,535.7228086889454,-177.87254292537818,15000.0
2026-06-15 03:00:00,4,5400.0,5517.919863931081,5497.8341438871685,117.91986393108073,97.83414388716847,-20.08572004391226,15000.0
2026-06-15 04:00:00,5,5226.0,5064.009366084443,4977.363865744728,161.99063391555683,248.63613425527183,86.645500339715,15000.0
2026-06-15 05:00:00,6,5231.0,5173.412723756212,5195.189117430414,57.58727624378844,35.81088256958628,-21.776393674202154,15000.0
2026-06-15 06:00:00,7,6363.0,5155.854307974628,5114.716116580337,1207.1456920253722,1248.2838834196627,41.138191394290516,15000.0
2026-06-15 07:00:00,8,6810.0,6029.569172666734,5926.700088388416,780.4308273332663,883.2999116115843,102.86908427831804,15000.0
2026-06-15 08:00:00,9,6190.45,6261.343265402318,6030.824492630031,70.89326540231832,159.62550736996855,88.73224196765022,15000.0
2026-06-15 09:00:00,10,4800.0,4361.483963056055,3888.0507210607375,438.51603694394544,911.9492789392625,473.4332419953171,15000.0
2026-06-15 10:00:00,11,3899.0,1765.354987478452,1064.3031744991504,2133.645012521548,2834.6968255008496,701.0518129793018,15000.0
2026-06-15 11:00:00,12,500.0,1331.2826868724137,721.7436321615775,831.2826868724137,221.74363216157747,-609.5390547108362,15000.0
2026-06-15 12:00:00,13,300.0,1179.4585474065143,505.38660080951706,879.4585474065143,205.38660080951706,-674.0719465969972,15000.0
2026-06-15 13:00:00,14,489.0,1191.2297836651403,596.137424771157,702.2297836651403,107.13742477115704,-595.0923588939833,15000.0
2026-06-15 14:00:00,15,602.0,988.6635630171128,401.9861901107429,386.6635630171128,200.01380988925712,-186.64975312785566,15000.0
2026-06-15 15:00:00,16,712.0,946.1097085131676,353.14786925096786,234.10970851316756,358.85213074903214,124.74242223586458,15000.0
2026-06-15 16:00:00,17,841.0,1633.9535143939604,1083.9706408091354,792.9535143939604,242.97064080913538,-549.982873584825,15000.0
2026-06-15 17:00:00,18,5600.0,2628.0276364052347,5788.521311414244,2971.9723635947653,188.52131141424434,-2783.451052180521,15000.0
2026-06-15 18:00:00,19,10000.0,5699.143494790398,7019.174969880392,4300.856505209602,2980.8250301196076,-1320.0314750899943,15000.0
2026-06-15 19:00:00,20,10267.0,7841.908395733011,9107.205363073334,2425.0916042669887,1159.7946369266665,-1265.2969673403222,15000.0
2026-06-15 20:00:00,21,14970.8,9704.090162221411,11131.253671346103,5266.709837778588,3839.546328653896,-1427.1635091246917,15000.0
2026-06-15 21:00:00,22,14975.17,11233.920705204882,13964.921302927984,3741.2492947951177,1010.2486970720165,-2731.0005977231012,15000.0
2026-06-15 22:00:00,23,14977.36,8518.387516047213,11014.790507317186,6458.972483952788,3962.5694926828146,-2496.4029912699734,15000.0
2026-06-15 23:00:00,24,8369.0,7539.067392015491,7512.754253288367,829.9326079845086,856.2457467116328,26.31313872712417,15000.0
