wmape_3m,wmape_14d,wmape_all,mode,window,stat,hours,gate,threshold,alpha,applied,delta_3m,delta_14d
7.038913464100293,12.852314084004885,7.091743670299304,daily,2,mean,night,adv,-2,1.0,8,-0.036786207781525526,-0.274111454619252
7.038913464100293,12.852314084004885,7.091743670299304,daily,2,mean,night,adv,0,1.0,8,-0.036786207781525526,-0.274111454619252
7.038913464100293,12.852314084004885,7.091743670299304,daily,2,mean,night,adv,1,1.0,8,-0.036786207781525526,-0.274111454619252
7.038913464100293,12.852314084004885,7.091743670299304,daily,2,mean,night,adv,2,1.0,8,-0.036786207781525526,-0.274111454619252
7.0413930406335545,12.870790582979943,7.094192140607849,daily,1,mean,day,adv,1,1.0,8,-0.034306631248264274,-0.2556349556441937
7.0413930406335545,12.870790582979943,7.094192140607849,daily,1,mean,day,adv,2,1.0,8,-0.034306631248264274,-0.2556349556441937
7.0413930406335545,12.870790582979943,7.094192140607849,daily,1,mean,day,adv,3,1.0,8,-0.034306631248264274,-0.2556349556441937
7.045791003887468,12.90356188987986,7.098534931524301,daily,1,mean,peakerr,adv,1,1.0,13,-0.029908667994351212,-0.22286364874427633
7.045791003887468,12.90356188987986,7.098534931524301,daily,1,mean,peakerr,adv,2,1.0,13,-0.029908667994351212,-0.22286364874427633
7.045791003887468,12.90356188987986,7.098534931524301,daily,1,mean,peakerr,adv,3,1.0,13,-0.029908667994351212,-0.22286364874427633
7.045944785323449,12.90470778818393,7.098686783776068,daily,1,mean,day,adv,1,0.7,8,-0.029754886558369442,-0.22171775044020592
7.045944785323449,12.90470778818393,7.098686783776068,daily,1,mean,day,adv,2,0.7,8,-0.029754886558369442,-0.22171775044020592
7.045944785323449,12.90470778818393,7.098686783776068,daily,1,mean,day,adv,3,0.7,8,-0.029754886558369442,-0.22171775044020592
7.048164903821622,12.921250942470872,7.100879050943995,daily,1,mean,peakerr,adv,1,0.7,13,-0.027534768060196946,-0.20517459615326494
7.048164903821622,12.921250942470872,7.100879050943995,daily,1,mean,peakerr,adv,2,0.7,13,-0.027534768060196946,-0.20517459615326494
7.048164903821622,12.921250942470872,7.100879050943995,daily,1,mean,peakerr,adv,3,0.7,13,-0.027534768060196946,-0.20517459615326494
7.049828790201077,12.933649347832526,7.102522063911025,daily,2,mean,night,adv,-2,0.7,8,-0.02587088168074203,-0.19277619079161035
7.049828790201077,12.933649347832526,7.102522063911025,daily,2,mean,night,adv,0,0.7,8,-0.02587088168074203,-0.19277619079161035
7.049828790201077,12.933649347832526,7.102522063911025,daily,2,mean,night,adv,1,0.7,8,-0.02587088168074203,-0.19277619079161035
7.049828790201077,12.933649347832526,7.102522063911025,daily,2,mean,night,adv,2,0.7,8,-0.02587088168074203,-0.19277619079161035
7.051000186140621,12.94237797370315,7.103678764718222,daily,1,mean,day,adv,1,0.55,8,-0.024699485741197513,-0.18404756492098606
7.051000186140621,12.94237797370315,7.103678764718222,daily,1,mean,day,adv,2,0.55,8,-0.024699485741197513,-0.18404756492098606
7.051000186140621,12.94237797370315,7.103678764718222,daily,1,mean,day,adv,3,0.55,8,-0.024699485741197513,-0.18404756492098606
7.0525353834923505,12.953817456177383,7.105194703058114,daily,1,mean,peakerr,adv,1,0.55,13,-0.02316428838946827,-0.17260808244675374
7.0525353834923505,12.953817456177383,7.105194703058114,daily,1,mean,peakerr,adv,2,0.55,13,-0.02316428838946827,-0.17260808244675374
7.0525353834923505,12.953817456177383,7.105194703058114,daily,1,mean,peakerr,adv,3,0.55,13,-0.02316428838946827,-0.17260808244675374
7.053514125126621,12.961110523586223,7.106161166403409,daily,1,mean,night,adv,-2,1.0,16,-0.022185546755197905,-0.16531501503791368
7.053514125126621,12.961110523586223,7.106161166403409,daily,1,mean,night,adv,0,1.0,16,-0.022185546755197905,-0.16531501503791368
7.055286453251468,12.974316979746348,7.107911260716886,daily,2,mean,night,adv,-2,0.55,8,-0.020413218630350727,-0.15210855887778862
7.055286453251468,12.974316979746348,7.107911260716886,daily,2,mean,night,adv,0,0.55,8,-0.020413218630350727,-0.15210855887778862
7.055286453251468,12.974316979746348,7.107911260716886,daily,2,mean,night,adv,1,0.55,8,-0.020413218630350727,-0.15210855887778862
7.055286453251468,12.974316979746348,7.107911260716886,daily,2,mean,night,adv,2,0.55,8,-0.020413218630350727,-0.15210855887778862
7.0570966845068615,12.987805870081568,7.109698782667098,daily,1,mean,day,adv,1,0.4,8,-0.018602987374957358,-0.13861966854256913
7.0570966845068615,12.987805870081568,7.109698782667098,daily,1,mean,day,adv,2,0.4,8,-0.018602987374957358,-0.13861966854256913
7.0570966845068615,12.987805870081568,7.109698782667098,daily,1,mean,day,adv,3,0.4,8,-0.018602987374957358,-0.13861966854256913
7.057946960712148,12.994141680743093,7.110538392178957,daily,1,mean,peakerr,adv,1,0.4,13,-0.017752711169670476,-0.1322838578810437
7.057946960712148,12.994141680743093,7.110538392178957,daily,1,mean,peakerr,adv,2,0.4,13,-0.017752711169670476,-0.1322838578810437
7.057946960712148,12.994141680743093,7.110538392178957,daily,1,mean,peakerr,adv,3,0.4,13,-0.017752711169670476,-0.1322838578810437
7.060049252919505,13.009806855539463,7.112614311183899,daily,1,mean,night,adv,-2,0.7,16,-0.015650418962313672,-0.11661868308467405
7.060049252919505,13.009806855539463,7.112614311183899,daily,1,mean,night,adv,0,0.7,16,-0.015650418962313672,-0.11661868308467405
7.060744116301858,13.014984611660168,7.113300457522745,daily,2,mean,night,adv,-2,0.4,8,-0.0149555555799612,-0.11144092696396868
7.060744116301858,13.014984611660168,7.113300457522745,daily,2,mean,night,adv,0,0.4,8,-0.0149555555799612,-0.11144092696396868
7.060744116301858,13.014984611660168,7.113300457522745,daily,2,mean,night,adv,1,0.4,8,-0.0149555555799612,-0.11144092696396868
7.060744116301858,13.014984611660168,7.113300457522745,daily,2,mean,night,adv,2,0.4,8,-0.0149555555799612,-0.11144092696396868
7.061747431350601,13.022460787217211,7.114291186009651,daily,1,mean,day,adv,1,0.3,8,-0.013952240531217797,-0.10396475140692552
7.061747431350601,13.022460787217211,7.114291186009651,daily,1,mean,day,adv,2,0.3,8,-0.013952240531217797,-0.10396475140692552
7.061747431350601,13.022460787217211,7.114291186009651,daily,1,mean,day,adv,3,0.3,8,-0.013952240531217797,-0.10396475140692552
7.0621410934582585,13.025394150003597,7.114679909636154,daily,1,mean,peakerr,adv,1,0.3,13,-0.013558578423560341,-0.10103138862053918
7.0621410934582585,13.025394150003597,7.114679909636154,daily,1,mean,peakerr,adv,2,0.3,13,-0.013558578423560341,-0.10103138862053918
7.0621410934582585,13.025394150003597,7.114679909636154,daily,1,mean,peakerr,adv,3,0.3,13,-0.013558578423560341,-0.10103138862053918
7.063316816815947,13.034155021516083,7.115840883574142,daily,1,mean,night,adv,-2,0.55,16,-0.012382855065872,-0.09227051710805334
7.063316816815947,13.034155021516083,7.115840883574142,daily,1,mean,night,adv,0,0.55,16,-0.012382855065872,-0.09227051710805334
7.064382558335451,13.042096366269382,7.116893255393316,daily,2,mean,night,adv,-2,0.3,8,-0.011317113546367885,-0.08432917235475479
7.064382558335451,13.042096366269382,7.116893255393316,daily,2,mean,night,adv,0,0.3,8,-0.011317113546367885,-0.08432917235475479
7.064382558335451,13.042096366269382,7.116893255393316,daily,2,mean,night,adv,1,0.3,8,-0.011317113546367885,-0.08432917235475479
7.064382558335451,13.042096366269382,7.116893255393316,daily,2,mean,night,adv,2,0.3,8,-0.011317113546367885,-0.08432917235475479
7.064405300353313,13.042265827814163,7.116915712113142,daily,1,mean,all,adv,1,0.7,24,-0.011294371528506097,-0.08415971080997409
7.064405300353313,13.042265827814163,7.116915712113142,daily,1,mean,all,adv,2,0.7,24,-0.011294371528506097,-0.08415971080997409
7.064405300353313,13.042265827814163,7.116915712113142,daily,1,mean,all,adv,3,0.7,24,-0.011294371528506097,-0.08415971080997409
7.065276165121056,13.048755053604449,7.117775651904465,daily,1,mean,all,adv,1,0.55,24,-0.010423506760762535,-0.07767048501968787
