3m,14d,all,bias3,low,summer,cap,eve,applied,rolling_window,stat,adv_thr,alpha,hours_name,hours
6.351230668442611,11.090985212042929,6.410661942886123,-48.15685513703601,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,35,21,mean,-250,-0.2,all,all
6.351616120540925,11.062528000590488,6.411042559497639,-48.184376060006144,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,14,8,mean,-250,0.3,h78917,"7-9,17"
6.352319435356954,11.090985212042929,6.41173705124714,-47.90137406931462,48.85662364643063,34.34662188394294,1.5505500562664434,2.9494456441532266,19,21,mean,-250,-0.2,peakerr,peakerr
6.3537815009408,11.062528000590488,6.4131807752553245,-48.30569421613287,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,13,8,mean,-250,0.3,morning,morning
6.353881121236453,11.090985212042929,6.413279145816893,-48.898788344832525,48.78926727474804,34.34662188394294,1.5505500562664434,2.9467360370317444,35,21,mean,-250,-0.1,all,all
6.35455764461363,11.090985212042929,6.413947182225464,-48.77104781097184,48.78926727474804,34.34662188394294,1.5505500562664434,2.9494456441532266,19,21,mean,-250,-0.1,peakerr,peakerr
6.355250447775701,11.071447780657449,6.414631294189442,-48.62549153779013,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,14,8,mean,-250,0.2,h78917,"7-9,17"
6.355614836752355,11.090985212042929,6.414991111915624,-50.1747777780648,48.951076243038905,34.34662188394294,1.5505500562664434,2.9494456441532266,16,8,mean,0,0.1,peakerr,peakerr
6.356040669906185,11.090985212042929,6.415411603003343,-50.15091994087211,48.951076243038905,34.34662188394294,1.5505500562664434,2.9494456441532266,7,8,mean,0,0.1,day,day
6.356451668040821,11.090985212042929,6.415817445176805,-49.72750152217255,49.12576209697405,34.34662188394294,1.5505500562664434,2.9446944417686596,23,21,mean,-250,-0.2,night,night
6.356556737264634,11.016505280449422,6.415921196309871,-48.94772162047075,49.12576209697405,34.34662188394294,1.5505500562664434,2.949791066974145,6,2,mean,500,-0.3,night,night
6.356556737264634,11.016505280449422,6.415921196309871,-48.94772162047075,49.12576209697405,34.34662188394294,1.5505500562664434,2.949791066974145,6,2,median,500,-0.3,night,night
6.356694034708951,11.071447780657449,6.416056771361231,-48.70637030854129,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,13,8,mean,-250,0.2,morning,morning
6.357879040972881,11.090985212042929,6.417226911751636,-50.8418330627715,48.77639038910374,34.34662188394294,1.5505500562664434,2.9494456441532266,16,8,mean,0,0.2,peakerr,peakerr
6.358239408851365,11.090985212042929,6.417582758824228,-48.372956462446496,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,5,21,mean,-100,-0.2,peakerr,peakerr
6.358528336184379,11.090985212042929,6.417868061571176,-49.61761200776533,49.12576209697405,34.34662188394294,1.5505500562664434,2.9467360370317444,23,21,mean,-250,-0.1,night,night
6.3586352152477215,10.994099888667938,6.417973599839382,-48.887399903114996,49.12576209697405,34.34662188394294,1.5505500562664434,2.946069718701217,23,3,mean,100,-0.2,night,night
6.358730707280544,11.090985212042929,6.418067893927073,-50.79411738838608,48.77639038910374,34.34662188394294,1.5505500562664434,2.9494456441532266,7,8,mean,0,0.2,day,day
6.358886240742439,11.090985212042929,6.418221476225636,-49.0782349781397,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,2,21,mean,0,-0.2,night,night
6.358959478198538,11.090985212042929,6.418293794919705,-48.863491220530484,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,2,21,mean,0,-0.3,night,night
6.358967196026362,11.090985212042929,6.418301415927573,-48.98270392363319,49.126753079930054,34.34662188394294,1.5505500562664434,2.9494456441532266,15,21,mean,-500,-0.3,h789111718,"7-9,11,17,18"
6.359398387009809,11.075913462553197,6.41872719763107,-49.42262806811467,49.12582268850337,34.34662188394294,1.5505500562664434,2.9494456441532266,11,8,mean,-100,-0.2,h789111718,"7-9,11,17,18"
6.359447614073718,11.090985212042929,6.418775807142714,-49.20325541909531,48.95751468586105,34.34662188394294,1.5505500562664434,2.9480908405924855,35,21,mean,-250,-0.05,all,all
6.359549571770142,10.974284642805758,6.418876485782421,-48.57723860799343,49.12576209697405,34.34662188394294,1.5505500562664434,2.944381755975211,23,3,mean,100,-0.3,night,night
6.359713168811111,11.08542262677542,6.419038030502662,-48.806222772781574,47.77804820821616,34.05896552509839,1.5505500562664434,2.9494456441532266,90,5,median,0,-0.1,day,day
6.3597858757623085,11.090985212042929,6.4191098253469985,-49.13938515216497,48.95751468586105,34.34662188394294,1.5505500562664434,2.9494456441532266,19,21,mean,-250,-0.05,peakerr,peakerr
6.3597968141715855,11.068377587808337,6.41912062653421,-49.380080855492956,49.12585298426803,34.34662188394294,1.5505500562664434,2.9494456441532266,11,8,mean,-100,-0.3,h789111718,"7-9,11,17,18"
6.359888513680128,11.041331924313923,6.419211175674746,-49.13438857809987,49.12576209697405,34.34662188394294,1.5505500562664434,2.9496759260338394,6,2,mean,500,-0.2,night,night
6.359888513680128,11.041331924313923,6.419211175674746,-49.13438857809987,49.12576209697405,34.34662188394294,1.5505500562664434,2.9496759260338394,6,2,median,500,-0.2,night,night
6.359892869659508,11.086035119664198,6.419215477008475,-49.32164346739036,48.965955457166004,34.25343564537421,1.5500501282703383,2.944337393946965,119,8,median,0,-0.05,peakerr,peakerr
6.359927586808283,11.090985212042929,6.419249758631497,-50.369075130345294,48.94503360817827,34.34662188394294,1.5505500562664434,2.9494456441532266,32,13,mean,-100,0.1,day,day
6.359952037044052,11.090985212042929,6.419273902139679,-48.940003889429825,49.13107866109446,34.34662188394294,1.5505500562664434,2.9494456441532266,10,13,mean,-250,-0.3,h789111718,"7-9,11,17,18"
6.36003063500461,11.090985212042929,6.419351514090815,-49.14235110377592,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,1,21,mean,-250,-0.3,h789111718,"7-9,11,17,18"
6.360432559289178,11.043877125595786,6.419748396245427,-49.921648884652846,49.12810459028533,34.34662188394294,1.5505500562664434,2.9494456441532266,32,8,median,0,-0.2,h789111718,"7-9,11,17,18"
6.360537524858767,11.081216496350187,6.41985204502461,-49.06660701557413,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,14,8,mean,-250,0.1,h78917,"7-9,17"
6.36059976501207,11.090985212042929,6.419913504376769,-49.841250135711455,49.03841917000648,34.34662188394294,1.5505500562664434,2.9494456441532266,16,8,mean,0,0.05,peakerr,peakerr
6.360632161345493,11.090985212042929,6.419945494299011,-48.39024470019547,49.12576209697405,34.34662188394294,1.5505500562664434,2.956352898422124,13,21,mean,-100,-0.2,all,all
6.3606769472134905,11.071728731925754,6.41998971832943,-48.90835885432494,49.12576209697405,34.34662188394294,1.5505500562664434,2.936605120614806,10,5,mean,100,-0.3,night,night
6.360812681588987,11.090985212042929,6.420123749920628,-49.82932121711511,49.03841917000648,34.34662188394294,1.5505500562664434,2.9494456441532266,7,8,mean,0,0.05,day,day
6.360841506236496,11.083854839944895,6.420152212963666,-49.169864798854746,48.33406619587466,34.06506583093677,1.5505500562664434,2.9494456441532266,90,5,median,0,-0.05,day,day
6.360966492636114,11.08862164756238,6.420275631412071,-49.127469182071444,48.8610207622077,34.398921220754794,1.552001643056154,2.9517158328497177,119,8,median,0,-0.1,peakerr,peakerr
6.360981756275791,11.081571776490142,6.420290703569775,-48.36064247604666,48.76450654706805,34.34292877786527,1.5505500562664434,2.9494456441532266,71,21,mean,-500,-0.1,peakerr,peakerr
6.361014254139498,11.080134903638228,6.420322793748606,-49.923377878912184,49.12576209697405,34.34662188394294,1.5712249033509957,2.9528908593392518,178,5,median,-100,0.05,night,night
6.361091745235135,11.085450970924597,6.420399312720415,-49.402191381235866,48.98598218044483,34.23493665853743,1.5500501282703383,2.944337393946965,168,8,median,-100,-0.05,peakerr,peakerr
6.361231419779643,11.092565424877288,6.420537235051306,-49.78141308388976,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,97,21,mean,-1000,-0.05,h78917,"7-9,17"
6.361259318325393,11.081216496350187,6.420564783610505,-49.107046400949706,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,13,8,mean,-250,0.1,morning,morning
6.361331066912909,11.090985212042929,6.420635632113811,-47.93707610822157,48.85662364643063,34.34662188394294,1.5505500562664434,2.9494456441532266,12,21,mean,-250,-0.2,day,day
6.361344961781155,11.020323082372215,6.420649352671287,-50.128437793292505,49.12878034546297,34.34662188394294,1.5505500562664434,2.9494456441532266,32,8,median,0,-0.3,h789111718,"7-9,11,17,18"
6.361452872868319,11.094154490996445,6.4207559100166,-50.27860387913736,48.951076243038905,34.34662188394294,1.5505500562664434,2.9522497780675536,42,8,mean,0,0.1,all,all
6.3614975600609345,11.090985212042929,6.420800036609518,-49.157826304879954,49.126753079930054,34.34662188394294,1.5505500562664434,2.9494456441532266,15,21,mean,-500,-0.2,h789111718,"7-9,11,17,18"
6.361673959397128,11.0910029880853,6.420974223020513,-49.23442041650727,49.1261420725548,34.347184820660146,1.5505500562664434,2.9494456441532266,4,3,median,500,-0.3,day,day
6.361843032504462,11.055895969653974,6.421141175110004,-49.0691109635832,49.12576209697405,34.34662188394294,1.5505500562664434,2.9442856028898405,9,5,median,100,-0.2,night,night
6.361846215403433,11.0688079777986,6.421144318079588,-50.03419811400235,48.96644071560602,33.98160741625825,1.5505500562664434,2.9494456441532266,83,21,mean,-1000,-0.05,morning,morning
6.361904851563192,11.090985212042929,6.421202218650211,-48.788898830425296,48.78926727474804,34.34662188394294,1.5505500562664434,2.9494456441532266,12,21,mean,-250,-0.1,day,day
6.362093522174359,11.042542550355433,6.421388522393347,-49.19756119823655,49.12576209697405,34.34662188394294,1.5505500562664434,2.947757681427222,23,3,mean,100,-0.1,night,night
6.362130659544231,11.090985212042929,6.421425193875856,-49.047807541503246,49.12576209697405,34.34662188394294,1.5505500562664434,2.956352898422124,11,21,mean,-100,-0.2,night,night
6.362152046866407,11.090985212042929,6.421446312894617,-49.129243424072584,49.12930647305432,34.34662188394294,1.5505500562664434,2.9494456441532266,10,13,mean,-250,-0.2,h789111718,"7-9,11,17,18"
6.362188614060909,11.077528427712295,6.421482421354592,-49.75725180612994,49.12576209697405,34.34662188394294,1.5712249033509957,2.960312403947479,190,5,median,-250,0.05,night,night
6.36220444550678,11.090985212042929,6.421498054195375,-49.26414156696998,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,1,21,mean,-250,-0.2,h789111718,"7-9,11,17,18"
6.362230843220368,11.118432674770515,6.421524120750317,-49.00397404577845,49.12576209697405,34.34662188394294,1.5505500562664434,2.9476925901459126,97,21,mean,-500,-0.1,night,night
6.362281442186776,11.07814755863148,6.421574084953974,-49.108146734002666,49.12576209697405,34.34662188394294,1.5505500562664434,2.940885295127613,10,5,mean,100,-0.2,night,night
6.362395737681243,11.090985212042929,6.421686946614362,-48.9403394779023,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,5,21,mean,-100,-0.1,peakerr,peakerr
6.362442368041952,11.059281070082658,6.42173299199838,-49.7534531879963,49.12576209697405,34.34662188394294,1.5413958366219367,2.939057688296573,74,8,mean,-500,-0.05,evening,evening
6.362518980922404,11.086278494266534,6.421808643772191,-48.96156419191725,48.91634144555028,34.3447753309041,1.5505500562664434,2.9494456441532266,71,21,mean,-500,-0.05,peakerr,peakerr
6.362540201347748,11.090985212042929,6.421829597987835,-49.562667250561724,49.12576209697405,34.34662188394294,1.5505500562664434,2.9480908405924855,23,21,mean,-250,-0.05,night,night
6.36269645268369,11.030057718018236,6.421983889154732,-49.54931403178863,49.12576209697405,34.34662188394294,1.5186759122852211,2.939699930072221,111,5,mean,-500,-0.05,evening,evening
6.362719153626779,11.090985212042929,6.4220063053150644,-49.2929787357489,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,2,21,mean,0,-0.1,night,night
6.362756140040035,11.090985212042929,6.422042827734704,-49.938398811851705,49.03539785257616,34.34662188394294,1.5505500562664434,2.9494456441532266,32,13,mean,-100,0.05,day,day
6.362763547066494,11.148073543335881,6.422050141840205,-50.13283182727796,49.55215402818715,35.88365613621587,1.5505500562664434,2.9494456441532266,234,3,median,-250,0.05,day,day
6.362782338799315,11.079447920184563,6.422068697831214,-49.60625468058296,48.965955457166004,34.25343564537421,1.551362644145051,2.952614937155808,183,8,median,0,-0.05,all,all
6.3628009643204475,11.091880852964822,6.4220870896956574,-48.508225845374966,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,75,2,mean,-250,0.05,h78917,"7-9,17"
6.3628009643204475,11.091880852964822,6.4220870896956574,-48.508225845374966,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,75,2,median,-250,0.05,h78917,"7-9,17"
6.3629407927301065,11.083449337298063,6.422225163961462,-49.46517528073639,49.12579239273871,34.34662188394294,1.5505500562664434,2.9494456441532266,11,8,mean,-100,-0.1,h789111718,"7-9,11,17,18"
6.363068812387358,11.092257509251251,6.422351577615361,-48.89333432062913,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,55,3,mean,-250,0.05,h78917,"7-9,17"
