candidate,signal,op,threshold,hours,alpha,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,11-15,0.15,17,6.0786761596036705,10.59970344973307,6.1415266234470876,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,10-16,0.15,17,6.0786761596036705,10.59970344973307,6.1415266234470876,5,mean
f_rolling_mean_hour_3d,profile_abs,le,2000.0,11-15,0.05,370,6.0786802866356755,10.685495447601125,6.141530698705581,0,none
f_rolling_mean_hour_3d,profile_abs,le,2000.0,11-15,0.03,370,6.078691359862348,10.641596803141667,6.141541633018905,0,none
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,day,0.15,49,6.078698114698145,10.59970344973307,6.14154830311546,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,lowday,0.15,49,6.078698114698145,10.59970344973307,6.14154830311546,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,midday,0.15,49,6.078698114698145,10.59970344973307,6.14154830311546,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,11-15,0.15,49,6.078698114698145,10.59970344973307,6.14154830311546,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,10-16,0.15,49,6.078698114698145,10.59970344973307,6.14154830311546,5,mean
f_rolling_mean_hour_3d,ratio,le,0.075,lowday,1.0,56,6.078936867688998,10.577679388238685,6.141763440009258,0,none
f_rolling_mean_hour_3d,ratio,le,0.075,10-16,1.0,56,6.078936867688998,10.577679388238685,6.141763440009258,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,midday,0.1,71,6.079281644143085,10.602366656174055,6.142124512198312,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,midday,0.1,71,6.079281644143085,10.602366656174055,6.142124512198312,2,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,11-15,0.15,37,6.079307561961871,10.610586355899166,6.14215010487872,2,mean
