candidate,signal,op,threshold,hours,alpha,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,10-16,0.15,4,6.02695631488865,10.361071705685266,6.090455602872118,5,mean
f_price_lag_48,hour_adv_abs,ge,-250.0,12-13,0.08,37,6.026999355388999,10.355210968881552,6.090498103430482,13,median
f_price_lag_48,hour_adv_abs,ge,-500.0,12-13,0.05,48,6.0270165379373415,10.356753622498793,6.090515070424192,21,median
f_rolling_mean_hour_7d,reldiff,le,0.15,night,-0.05,515,6.027043977010688,10.379948349945229,6.089274029868741,0,none
f_rolling_mean_hour_14d,hour_adv_abs,ge,0.0,day,0.15,5,6.027097033896835,10.367927310996631,6.090594556563914,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,0.0,lowday,0.15,5,6.027097033896835,10.367927310996631,6.090594556563914,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,0.0,midday,0.15,5,6.027097033896835,10.367927310996631,6.090594556563914,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,0.0,11-15,0.15,5,6.027097033896835,10.367927310996631,6.090594556563914,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,0.0,10-16,0.15,5,6.027097033896835,10.367927310996631,6.090594556563914,5,median
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,day,0.1,17,6.027216905018049,10.355210968881552,6.090712923904954,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,lowday,0.1,17,6.027216905018049,10.355210968881552,6.090712923904954,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,midday,0.1,17,6.027216905018049,10.355210968881552,6.090712923904954,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,11-15,0.1,17,6.027216905018049,10.355210968881552,6.090712923904954,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,10-16,0.1,17,6.027216905018049,10.355210968881552,6.090712923904954,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,day,0.1,48,6.02723452621047,10.35612024397067,6.090730324039963,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,lowday,0.1,48,6.02723452621047,10.35612024397067,6.090730324039963,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,midday,0.1,48,6.02723452621047,10.35612024397067,6.090730324039963,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,11-15,0.1,48,6.02723452621047,10.35612024397067,6.090730324039963,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,10-16,0.1,48,6.02723452621047,10.35612024397067,6.090730324039963,5,mean
f_price_lag_48,hour_adv_abs,ge,250.0,day,0.15,3,6.027356634961211,10.322191444050725,6.090850900939522,3,median
f_price_lag_48,profile_abs,ge,1500.0,night,-0.03,472,6.027440697211425,10.366335966842843,6.091750418568268,0,none
f_rolling_mean_hour_7d,reldiff,le,0.15,night,-0.08,515,6.02746882307677,10.404902144570654,6.08893266500791,0,none
f_rolling_mean_hour_14d,profile_abs,le,1000.0,11-15,0.15,65,6.027515543880179,10.347986390858935,6.091007816350135,0,none
f_price_lag_48,hour_adv_abs,ge,250.0,day,0.15,2,6.027580048008101,10.322191444050725,6.091071511275406,3,mean
f_rolling_mean_hour_7d,reldiff,le,0.1,morning,-0.1,183,6.027665926194971,10.37719159005774,6.091762557556666,0,none
f_rolling_mean_hour_7d,reldiff,le,0.1,7-10,-0.1,183,6.027665926194971,10.37719159005774,6.091762557556666,0,none
f_rolling_mean_hour_14d,hour_adv_abs,le,-1000.0,8-10,-0.05,127,6.027694753902425,10.367284097417738,6.091184778187197,13,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,day,0.15,10,6.0277929405967425,10.367927310996631,6.0912817331319244,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,lowday,0.15,10,6.0277929405967425,10.367927310996631,6.0912817331319244,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,midday,0.15,10,6.0277929405967425,10.367927310996631,6.0912817331319244,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,11-15,0.15,10,6.0277929405967425,10.367927310996631,6.0912817331319244,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,10-16,0.15,10,6.0277929405967425,10.367927310996631,6.0912817331319244,5,median
f_rolling_mean_hour_14d,hour_adv_abs,le,-1000.0,8-10,-0.08,127,6.027807251491582,10.385087400737138,6.09129586449695,13,median
f_rolling_mean_hour_7d,ratio,le,0.2,night,-0.08,407,6.027865709493358,10.353178872436832,6.089687406744951,0,none
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.05,42,6.027946502255421,10.365722579081085,6.091433368363489,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.05,42,6.027946502255421,10.365722579081085,6.091433368363489,2,median
f_price_lag_48,hour_adv_abs,ge,-250.0,12-13,0.1,37,6.027948425876653,10.355210968881552,6.091435267852942,13,median
f_rolling_mean_hour_14d,hour_adv_abs,le,-1000.0,morning,-0.05,166,6.027968275445418,10.367284097417738,6.09145486840937,13,median
f_rolling_mean_hour_14d,hour_adv_abs,le,-1000.0,7-10,-0.05,166,6.027968275445418,10.367284097417738,6.09145486840937,13,median
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,day,0.1,63,6.0280137233702895,10.357904466746975,6.091499746191175,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,lowday,0.1,63,6.0280137233702895,10.357904466746975,6.091499746191175,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,midday,0.1,63,6.0280137233702895,10.357904466746975,6.091499746191175,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,11-15,0.1,63,6.0280137233702895,10.357904466746975,6.091499746191175,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,10-16,0.1,63,6.0280137233702895,10.357904466746975,6.091499746191175,5,mean
f_rolling_mean_hour_14d,reldiff,le,0.1,night,-0.08,391,6.0280311176763455,10.411048580874219,6.091684248473958,0,none
f_rolling_mean_hour_7d,reldiff,le,0.1,night,-0.05,419,6.02807671518921,10.354986489412067,6.091091861029073,0,none
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,day,0.15,63,6.028132329043236,10.363618925751277,6.091616863958964,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,lowday,0.15,63,6.028132329043236,10.363618925751277,6.091616863958964,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,midday,0.15,63,6.028132329043236,10.363618925751277,6.091616863958964,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,11-15,0.15,63,6.028132329043236,10.363618925751277,6.091616863958964,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,10-16,0.15,63,6.028132329043236,10.363618925751277,6.091616863958964,5,mean
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,day,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,lowday,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,midday,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,11-15,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,10-16,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,day,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,lowday,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,midday,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,11-15,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,10-16,0.2,4,6.028171274768139,10.355210968881552,6.0916553211107365,5,median
f_rolling_mean_hour_7d,reldiff,le,0.075,morning,-0.1,150,6.028224259997624,10.362146460649551,6.09137352994111,0,none
f_rolling_mean_hour_7d,reldiff,le,0.075,7-10,-0.1,150,6.028224259997624,10.362146460649551,6.09137352994111,0,none
f_rolling_mean_hour_7d,absdiff,le,1000.0,night,-0.1,390,6.028224941690568,10.336800051448325,6.089625586783452,0,none
f_rolling_mean_hour_7d,absdiff,le,1000.0,8-10,-0.15,111,6.028262065177721,10.366740618886949,6.091243805005804,0,none
f_price_lag_48,profile_abs,ge,1500.0,night,-0.02,472,6.028304971690071,10.36008211698188,6.092331680766394,0,none
f_rolling_mean_hour_7d,reldiff,le,0.075,morning,-0.15,150,6.028308985396456,10.367952761918769,6.091290136611585,0,none
f_rolling_mean_hour_7d,reldiff,le,0.075,7-10,-0.15,150,6.028308985396456,10.367952761918769,6.091290136611585,0,none
f_rolling_mean_hour_3d,daily_adv_wmape,le,-50.0,lowday,-0.2,21,6.0283385749193,10.355210968881552,6.091820522485744,3,mean
f_rolling_mean_hour_3d,daily_adv_wmape,le,-50.0,10-16,-0.2,21,6.0283385749193,10.355210968881552,6.091820522485744,3,mean
f_rolling_mean_hour_7d,ratio,le,0.2,night,-0.1,407,6.028403109969218,10.354406441424299,6.089801519945564,0,none
f_rolling_mean_hour_3d,absdiff,ge,5000.0,morning,0.08,16,6.028411876163144,10.355210968881552,6.086566558643121,0,none
f_rolling_mean_hour_3d,absdiff,ge,5000.0,7-10,0.08,16,6.028411876163144,10.355210968881552,6.086566558643121,0,none
f_price_lag_168,profile_abs,le,1000.0,11-15,0.15,55,6.028435660217634,10.355210968881552,6.091916389851475,0,none
f_price_lag_48,absdiff,le,2000.0,night,-0.03,569,6.0284416706840585,10.356763778878515,6.091569386417569,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,day,0.15,2,6.028448647277623,10.355210968881552,6.091929213989125,34,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,lowday,0.15,2,6.028448647277623,10.355210968881552,6.091929213989125,34,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,midday,0.15,2,6.028448647277623,10.355210968881552,6.091929213989125,34,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.15,2,6.028448647277623,10.355210968881552,6.091929213989125,34,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,10-16,0.15,2,6.028448647277623,10.355210968881552,6.091929213989125,34,mean
f_rolling_mean_hour_7d,reldiff,le,0.1,morning,-0.15,183,6.028451113797675,10.390982341793082,6.092841017717842,0,none
f_rolling_mean_hour_7d,reldiff,le,0.1,7-10,-0.15,183,6.028451113797675,10.390982341793082,6.092841017717842,0,none
f_price_lag_48,hour_adv_abs,ge,-250.0,12-13,0.1,39,6.028477446654844,10.355210968881552,6.09195765207889,21,median
f_rolling_mean_hour_14d,hour_adv_abs,le,-1000.0,morning,-0.08,166,6.028488541476004,10.385087400737138,6.0919686077158,13,median
f_rolling_mean_hour_14d,hour_adv_abs,le,-1000.0,7-10,-0.08,166,6.028488541476004,10.385087400737138,6.0919686077158,13,median
f_price_lag_168,reldiff,le,0.15,night,-0.05,437,6.028506160796401,10.345798147120714,6.089474182139143,0,none
f_rolling_mean_hour_14d,profile_abs,le,1000.0,11-15,0.2,65,6.028515535931173,10.348113749699467,6.091995263526212,0,none
f_rolling_mean_hour_14d,profile_abs,le,1000.0,11-15,0.1,65,6.028539831991604,10.350250867501149,6.092019254793182,0,none
f_rolling_mean_hour_3d,absdiff,ge,5000.0,8-10,0.1,11,6.028582460799182,10.355210968881552,6.09206134882345,0,none
f_rolling_mean_hour_7d,reldiff,le,0.1,morning,-0.08,183,6.0285847542428375,10.372239508230908,6.092548609843166,0,none
f_rolling_mean_hour_7d,reldiff,le,0.1,7-10,-0.08,183,6.0285847542428375,10.372239508230908,6.092548609843166,0,none
f_rolling_mean_hour_7d,reldiff,le,0.075,all,-0.05,968,6.028589085909015,10.320939800285629,6.089924780269006,0,none
f_rolling_mean_hour_14d,profile_abs,le,1000.0,midday,0.1,78,6.028589822591951,10.361228695236932,6.092068618262715,0,none
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,day,0.1,4,6.028613050955898,10.355210968881552,6.092091555227427,5,median
