rolling,beta,hours,gate,thr,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
3,0.1,day,absbias,100,217,6.102696310919669,10.650308470328367,6.1652454425741094,-38.567032039743914,-0.0020267528286170844,0.00599661670397289,-0.002001327265791275
1,0.1,coremid,wmape,12,25,6.102706427046215,10.648504535023191,6.165255431794104,-38.75900822534709,-0.002016636702070862,0.004192681398796694,-0.0019913380457969865
1,0.05,peakerr,absbias,500,78,6.10270913608445,10.646236196918617,6.165258106847524,-38.299210444101135,-0.0020139276638353465,0.0019243432942221972,-0.001988662992376433
5,0.1,peakerr,absbias,100,351,6.1027486019249055,10.653148447655445,6.165297077590012,-38.52671830289975,-0.0019744618233801248,0.008836594031050637,-0.0019496922498882796
1,-0.3,day,wmape,20,7,6.1027730343723805,10.629781261290598,6.165321203533053,-38.29000411178791,-0.0019500293759051601,-0.014530592333796832,-0.0019255663068475926
1,0.05,coremid,wmape,12,25,6.102779897834699,10.641935200309998,6.16532798089341,-38.916041741814176,-0.0019431659135866752,-0.002376653314396293,-0.0019187889464911123
34,0.1,coremid,none,0,460,6.102781278840942,10.644567038075637,6.165329344574966,-38.81014243440868,-0.0019417849073439797,0.0002551844512428403,-0.001917425264934991
3,0.05,day,none,0,644,6.102781688695767,10.646655142607777,6.165329749288173,-38.68982906066875,-0.001941375052518346,0.002343288983382763,-0.0019170205517280436
3,0.3,midday,wmape,10,78,6.102781878643411,10.670917582432732,6.165329936852926,-39.02317595918216,-0.001941185104874954,0.026605728808338114,-0.0019168329869749812
1,-0.3,coremid,wmape,20,5,6.1027891944216375,10.629901677470349,6.165337160854902,-38.512429321141,-0.0019338693266481854,-0.014410176154045828,-0.0019096089849988118
5,0.05,peakerr,absbias,250,117,6.102808959242176,10.644444126086377,6.165356677726268,-38.901108162754234,-0.0019141045061097373,0.00013227246198255216,-0.0018900921136326687
3,0.5,nooneve,wmape,15,19,6.102813217086619,10.63008068172328,6.165360882156161,-39.994054106730914,-0.0019098466616664922,-0.014231171901114337,-0.00188588768373954
3,0.3,coremid,wmape,10,65,6.102862654422705,10.658634638310803,6.16540969930212,-38.97609659590058,-0.0018604093255802923,0.014322784686408241,-0.0018370705377810381
2,0.05,midday,none,0,552,6.102895127523609,10.648642411203738,6.165441765028796,-38.73385833259725,-0.0018279362246769182,0.004330557579343974,-0.0018050048111044603
34,0.05,midday,none,0,552,6.102917548827609,10.644494962781199,6.165463905058106,-38.91379723491114,-0.0018055149206768206,0.0001831091568043064,-0.0017828647817950127
21,0.2,midday,none,0,552,6.102927459781392,10.644076811648235,6.1654736916792245,-38.61508403854143,-0.0017956039668938217,-0.00023504197615942246,-0.001773078160676178
1,0.1,midday,wmape,12,30,6.102928120468303,10.65404402289511,6.165474344077835,-38.69475802796781,-0.0017949432799824194,0.009732169270716184,-0.0017724257620654882
3,0.1,coremid,none,0,460,6.102929588793043,10.646774283801912,6.1654757939824805,-38.485715336616046,-0.0017934749552424023,0.0024624301775180157,-0.0017709758574202539
8,0.05,peakerr,absbias,100,312,6.102950298493443,10.647124838678835,6.165496243880214,-39.038113976620004,-0.00177276525484249,0.0028129850544402757,-0.0017505259596868328
3,0.05,midday,absbias,100,186,6.10295552688087,10.647202652566316,6.1655014066776515,-38.85076297173878,-0.0017675368674154868,0.0028907989419213465,-0.0017453631622492694
14,0.1,midday,none,0,552,6.1029680521212395,10.644141898010153,6.165513774789199,-38.87298564141568,-0.0017550116270461658,-0.00016995561424160144,-0.001732995050701902
21,0.3,midday,wmape,10,6,6.1029718051292035,10.644311853624394,6.165517480715773,-39.474386470591384,-0.0017512586190822077,0.0,-0.0017292891241273978
21,0.5,midday,wmape,10,6,6.1029718051292035,10.644311853624394,6.165517480715773,-39.74498255463647,-0.0017512586190822077,0.0,-0.0017292891241273978
21,0.8,midday,wmape,10,6,6.1029718051292035,10.644311853624394,6.165517480715773,-40.150876680704116,-0.0017512586190822077,0.0,-0.0017292891241273978
21,1.0,midday,wmape,10,6,6.1029718051292035,10.644311853624394,6.165517480715773,-40.421472764749204,-0.0017512586190822077,0.0,-0.0017292891241273978
34,0.3,midday,wmape,10,6,6.1029718051292035,10.644311853624394,6.165517480715773,-39.474386470591384,-0.0017512586190822077,0.0,-0.0017292891241273978
34,0.5,midday,wmape,10,6,6.1029718051292035,10.644311853624394,6.165517480715773,-39.74498255463647,-0.0017512586190822077,0.0,-0.0017292891241273978
