datetime,n,wmape,mae,bias
13,92.0,20.600748259128522,275.49212706050025,-51.410216981278886
12,92.0,19.882214351405572,263.0605839727296,-85.37168329509075
11,92.0,15.7823835980661,274.22670327960884,-102.69400009471346
15,92.0,15.69494895011328,298.66687750863656,-116.43816014138312
14,92.0,15.543692251126453,241.48866129844365,-49.45054054481029
10,92.0,11.383550656435808,330.420723126852,-134.7987676183364
9,92.0,10.016442501907408,477.1811106410559,12.269560524199955
16,92.0,9.747602688671044,289.08873209773793,-119.4407055690348
17,92.0,8.225924874142637,447.29180906843465,-203.89136965959892
8,92.0,8.014191912915072,492.80694689334024,-146.3883812014184
4,92.0,7.587356988678569,324.77613138883174,41.70250303949863
7,92.0,7.328801691379584,481.8926652372142,-18.72713097985813
2,92.0,7.210758874552313,328.0044653507547,-31.16454137632843
3,92.0,7.206866599140572,311.5834879309946,-3.639909568960824
6,92.0,6.34157432653253,380.1234706008341,6.948717971352583
5,92.0,6.267825089347366,311.06250537110157,-84.16497328584623
0,92.0,6.015292951644366,445.5918417941219,37.441557147889895
18,92.0,4.651595751134924,384.5526436793796,54.65824977080598
1,92.0,4.597787876024915,253.1141097426911,-69.90164110930681
23,93.0,4.245794426122833,323.2689804539064,19.460744851558996
22,92.0,3.3627220374855176,356.83430598355216,41.82686508559375
21,92.0,3.073791412354001,371.2626870011651,137.92480265940378
20,92.0,1.9546292260992804,228.47788712153283,60.93620875114665
19,92.0,1.6091509882870607,169.11974693577176,33.16593015908743
