3m,14d,all,bias3,low,summer,cap,eve,applied,mode,rolling_window,stat,adv_thr,metric,op,sim_thr,alpha,hours
6.386058213791623,11.232996364240668,6.445052577562148,-51.79203295837549,49.73560321083254,35.497560176475254,1.558266052465585,2.991853148327597,6,daily,3,mean,-5.0,ratio,le,0.05,-0.3,"7-9,11,17,18"
6.396953322246704,11.194115601757316,6.455811007158019,-51.261188051972375,49.72559791633402,35.497560176475254,1.558266052465585,2.992796144488534,188,hour,2,mean,-250.0,ratio,le,0.05,-0.1,night
6.396953322246704,11.194115601757316,6.455811007158019,-51.261188051972375,49.72559791633402,35.497560176475254,1.558266052465585,2.992796144488534,188,hour,2,median,-250.0,ratio,le,0.05,-0.1,night
6.399019408443656,11.232996364240668,6.457851174356037,-51.06586575169219,49.73560321083254,35.497560176475254,1.558266052465585,2.991853148327597,6,daily,3,mean,-5.0,ratio,le,0.05,-0.2,"7-9,11,17,18"
6.399183201780172,11.162867196374226,6.458012912909301,-50.07833200524933,49.72559791633402,35.497560176475254,1.558266052465585,2.9890699739994466,83,hour,3,mean,0.0,ratio,le,0.05,-0.2,night
6.399754751895798,11.130781328891581,6.458577292943225,-49.92265936027662,49.72559791633402,35.497560176475254,1.558266052465585,2.987678386835371,83,hour,3,mean,0.0,ratio,le,0.05,-0.3,night
6.401636593973703,11.275110128288526,6.460435527359996,-46.360199861629944,50.53826720898735,36.99992394957835,1.558266052465585,2.991853148327597,438,similarity,2,mean,0.0,profile_abs,le,2000.0,0.05,midday
6.402149295172206,11.136043437636939,6.4609417967349705,-50.41594388814575,49.13847355248963,34.39807033862571,1.540586364303545,2.9773984439055607,650,hour,3,mean,-500.0,ratio,le,0.05,-0.05,all
6.403105079452258,11.232996364240668,6.461885590725472,-50.82992226368929,49.72559791633402,35.497560176475254,1.558266052465585,2.991853148327597,4,daily,3,mean,-5.0,ratio,le,0.05,-0.3,"7-9,17"
6.40368742622315,11.20233279326456,6.462460631970895,-50.41908181490878,49.72559791633402,35.497560176475254,1.558266052465585,2.992081435287399,188,hour,2,mean,-250.0,ratio,le,0.05,-0.05,night
6.40368742622315,11.20233279326456,6.462460631970895,-50.41908181490878,49.72559791633402,35.497560176475254,1.558266052465585,2.992081435287399,188,hour,2,median,-250.0,ratio,le,0.05,-0.05,night
6.4052526276230415,11.10863462013603,6.464006197958925,-49.18465060865591,49.72559791633402,35.497560176475254,1.558266052465585,2.9905312139211837,20,hour,3,mean,100.0,ratio,le,0.05,-0.3,night
6.405292687905171,11.194953063856868,6.4640457556858335,-50.01168812222195,49.72559791633402,35.497560176475254,1.558266052465585,2.9904615611635217,83,hour,3,mean,0.0,ratio,le,0.05,-0.1,night
6.406099938569327,11.179916079341403,6.464842879410883,-52.58686250401264,49.72559791633402,35.497560176475254,1.558266052465585,2.998544200415893,188,hour,2,mean,-250.0,ratio,le,0.05,-0.2,night
6.406099938569327,11.179916079341403,6.464842879410883,-52.58686250401264,49.72559791633402,35.497560176475254,1.558266052465585,2.998544200415893,188,hour,2,median,-250.0,ratio,le,0.05,-0.2,night
6.406425390953502,11.207820682590087,6.465164249003154,-50.98274761231266,49.72559791633402,35.497560176475254,1.558266052465585,2.990846540102695,282,hour,2,mean,-500.0,ratio,le,0.05,-0.05,night
6.406425390953502,11.207820682590087,6.465164249003154,-50.98274761231266,49.72559791633402,35.497560176475254,1.558266052465585,2.990846540102695,282,hour,2,median,-500.0,ratio,le,0.05,-0.05,night
6.406425541254047,11.188229925676541,6.465164397418184,-50.403474419614135,49.72559791633402,35.497560176475254,1.558266052465585,2.9931132385956594,113,hour,2,mean,0.0,ratio,le,0.05,-0.1,night
6.406425541254047,11.188229925676541,6.465164397418184,-50.403474419614135,49.72559791633402,35.497560176475254,1.558266052465585,2.9931132385956594,113,hour,2,median,0.0,ratio,le,0.05,-0.1,night
6.406757963779415,11.232996364240668,6.465492649711402,-51.6436818510346,49.40308524229669,35.497560176475254,1.558266052465585,2.9969389825484942,24,daily,3,mean,-5.0,ratio,le,0.05,-0.1,all
6.40706930383265,11.145870915817138,6.4658000840115655,-50.90107396930039,49.72559791633402,35.497560176475254,1.558266052465585,2.994373328863722,113,hour,2,mean,0.0,ratio,le,0.05,-0.2,night
6.40706930383265,11.145870915817138,6.4658000840115655,-50.90107396930039,49.72559791633402,35.497560176475254,1.558266052465585,2.994373328863722,113,hour,2,median,0.0,ratio,le,0.05,-0.2,night
6.407239866598628,11.22041457955823,6.465968507071971,-52.50703757600605,49.72559791633402,35.497560176475254,1.558266052465585,2.990326354119126,282,hour,2,mean,-500.0,ratio,le,0.05,-0.1,night
6.407239866598628,11.22041457955823,6.465968507071971,-52.50703757600605,49.72559791633402,35.497560176475254,1.558266052465585,2.990326354119126,282,hour,2,median,-500.0,ratio,le,0.05,-0.1,night
6.407282612734097,11.146966589199318,6.466010716958256,-49.38953899580318,49.32646384549129,34.79751861812424,1.5503265609110155,2.97832251437598,363,hour,8,mean,-500.0,ratio,le,0.05,-0.05,all
6.407288959627305,11.150088534837575,6.466016984229849,-49.407195898024604,49.72559791633402,35.497560176475254,1.558266052465585,2.9909718587233214,20,hour,3,mean,100.0,ratio,le,0.05,-0.2,night
6.408436375836832,11.225097681473727,6.467150006132133,-50.258008417887645,49.72559791633402,35.497560176475254,1.558266052465585,2.991864465076362,233,hour,3,mean,-500.0,ratio,le,0.05,-0.05,night
6.409129384318314,11.232996364240668,6.467834320839794,-48.309207096554225,49.43976646146403,35.497560176475254,1.558266052465585,2.9866379716519087,35,hour,21,mean,-250.0,ratio,le,0.05,-0.2,all
6.409301385351064,11.119135445568682,6.46800416412395,-48.71421106072533,49.79882044681668,35.2601319471667,1.5304198142880552,2.9742011945590874,496,hour,5,mean,-500.0,ratio,le,0.05,-0.05,all
6.4093108456487204,11.164210414616708,6.468013505742412,-51.91127432969641,48.631147854837224,34.10207530129784,1.5541120527474859,2.994228423470947,527,hour,2,mean,-250.0,ratio,le,0.05,-0.05,all
6.4093108456487204,11.164210414616708,6.468013505742412,-51.91127432969641,48.631147854837224,34.10207530129784,1.5541120527474859,2.994228423470947,527,hour,2,median,-250.0,ratio,le,0.05,-0.05,all
6.409391436949469,11.205832847020629,6.468093086027336,-49.87026951041667,49.72559791633402,35.497560176475254,1.558266052465585,2.9897292839748033,105,hour,3,mean,-100.0,ratio,le,0.05,-0.1,night
6.409562588399637,11.232996364240668,6.4682620903869035,-50.52858869095475,49.3041248779457,35.497560176475254,1.558266052465585,2.991853148327597,8,daily,3,mean,-5.0,ratio,le,0.05,-0.3,day
6.409728060632179,11.232996364240668,6.4684254867744855,-53.23713394542555,49.30715198843373,35.497560176475254,1.558266052465585,3.028889765932133,24,daily,3,mean,-5.0,ratio,le,0.05,-0.2,all
6.410363047037249,11.232996364240668,6.46905250729121,-50.42328551538884,49.72559791633402,35.497560176475254,1.558266052465585,2.991853148327597,4,daily,3,mean,-5.0,ratio,le,0.05,-0.2,"7-9,17"
6.410381816513035,11.117849362851986,6.469071041304399,-52.44070088536556,48.20400028281082,33.97682560543632,1.5315154213167894,2.984835564599346,797,hour,2,mean,-500.0,ratio,le,0.05,-0.05,all
6.410381816513035,11.117849362851986,6.469071041304399,-52.44070088536556,48.20400028281082,33.97682560543632,1.5315154213167894,2.984835564599346,797,hour,2,median,-500.0,ratio,le,0.05,-0.05,all
6.410396577150429,11.217973588423575,6.469085616769971,-50.36473626008252,49.56805853357159,35.15654484503313,1.5617670192178554,2.988962819458519,52,hour,3,mean,100.0,ratio,le,0.05,-0.1,all
6.410602219887345,11.246128300963994,6.469288679723968,-50.91782417023202,49.72559791633402,35.497560176475254,1.558266052465585,2.994079100823102,233,hour,3,mean,-500.0,ratio,le,0.05,-0.1,night
6.4108222577802065,11.232996364240668,6.469505957247046,-49.77231338902457,49.72559791633402,35.497560176475254,1.558266052465585,2.991853148327597,26,hour,21,mean,-500.0,ratio,le,0.05,-0.3,"0,7,8,9,17,21,22"
6.4114946964037935,11.201655778821683,6.470169960145157,-50.926118400954316,49.72559791633402,35.497560176475254,1.558266052465585,2.9963384694219752,146,hour,2,mean,-100.0,ratio,le,0.05,-0.1,night
6.4114946964037935,11.201655778821683,6.470169960145157,-50.926118400954316,49.72559791633402,35.497560176475254,1.558266052465585,2.9963384694219752,146,hour,2,median,-100.0,ratio,le,0.05,-0.1,night
6.411545287830263,11.232996364240668,6.470219916903468,-48.12708180677527,49.43976646146403,35.497560176475254,1.558266052465585,2.991853148327597,19,hour,21,mean,-250.0,ratio,le,0.05,-0.2,peakerr
6.411631984313354,11.232996364240668,6.4703055257813755,-48.999229771461856,49.380756591944724,35.497560176475254,1.558266052465585,2.9892093390435206,35,hour,21,mean,-250.0,ratio,le,0.05,-0.1,all
